"date","hdr","hdr_anom_1900-99"
197112,2.02,2.24
197212,3.13,3.35
197312,-0.67,-0.45
197412,1.51,1.73
197512,0.76,0.98
197612,1.29,1.51
197712,-1.55,-1.33
197812,0.49,0.71
197912,-2.11,-1.89
198012,0.04,0.26
198112,1.19,1.41
198212,1.89,2.11
198312,1.48,1.7
198412,2.28,2.5
198512,-1.35,-1.13
198612,-0.36,-0.14
198712,-2.02,-1.8
198812,-1.99,-1.77
198912,-0.89,-0.67
199012,0.95,1.17
199112,0.93,1.15
199212,-2.67,-2.45
199312,-1.48,-1.26
199412,-2.56,-2.34
199512,-0.85,-0.63
199612,2.54,2.76
199712,4.63,4.85
199812,0.8,1.02
199912,3.09,3.31
200012,0.9,1.12
200112,-0.74,-0.52
200212,0.13,0.35
200312,-2.3,-2.08
200412,-2.16,-1.94
200512,-1.41,-1.19
200612,0.14,0.36
200712,0.57,0.79
200812,-0.25,-0.03
200912,-0.75,-0.53
201012,1.07,1.29
201112,2.7,2.92
201212,1.61,1.83
201312,1.21,1.43
201412,1.32,1.54
