"date","hd","hd_anom_1900-99"
197012,3128.33333333333,86.6666666666665
197112,3282.77777777778,241.111111111111
197212,3272.77777777778,231.111111111111
197312,3088.88888888889,47.2222222222222
197412,3012.77777777778,-28.8888888888891
197512,3230.55555555556,188.888888888889
197612,3100.55555555556,58.8888888888887
197712,3099.44444444444,57.7777777777778
197812,3006.11111111111,-35.5555555555557
197912,2957.77777777778,-83.8888888888891
198012,2987.22222222222,-54.4444444444448
198112,2846.66666666667,-195
198212,3124.44444444444,82.7777777777778
198312,2899.44444444444,-142.222222222222
198412,3092.77777777778,51.1111111111109
198512,3390,348.333333333333
198612,2822.77777777778,-218.888888888889
198712,2693.88888888889,-347.777777777778
198812,2898.88888888889,-142.777777777778
198912,2961.66666666667,-80
199012,2964.44444444444,-77.2222222222222
199112,2912.22222222222,-129.444444444445
199212,2632.77777777778,-408.888888888889
199312,2995,-46.666666666667
199412,2825,-216.666666666667
199512,2686.11111111111,-355.555555555556
199612,3066.66666666667,25
199712,2770,-271.666666666667
199812,2700.55555555556,-341.111111111111
199912,2981.11111111111,-60.5555555555557
200012,2998.88888888889,-42.7777777777778
200112,2995.55555555556,-46.1111111111113
200212,2947.77777777778,-93.8888888888891
200312,2726.66666666667,-315
200412,2638.33333333333,-403.333333333333
200512,2764.44444444444,-277.222222222223
200612,2826.66666666667,-215
200712,2996.66666666667,-45
200812,3147.22222222222,105.555555555555
200912,3035.55555555556,-6.11111111111131
201012,2830.55555555556,-211.111111111111
201112,3195.55555555556,153.888888888889
201212,2991.11111111111,-50.5555555555557
201312,2932.77777777778,-108.888888888889
201412,2637.22222222222,-404.444444444445
