"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DUE",3,"pc","fixed_factors",529,8191,15.4839319470699,-3343.21270398316,-5628.42540796631,0.718131728406946,0.946883596322093,0.99999999999687,1945,283,0,"0 ","RdDensWsRp100,PctGlacLakeFineWs,RunoffWs,PctIce2011Ws,RckDepWs,PctUrbOp2011WsRp100","PctIce2011Ws,RckDepWs,RunoffWs,WtDepWs,PopDen2010Ws,PctAlluvCoastWs","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100",NA,"0.641963516328422,0.627917309244003,-0.616101382020343,-0.603923882677221,0.570474514336305,0.47338408983622","-0.418466515995653,0.410135436250156,0.333850705184685,-0.320579342384129,-0.256820975991311,0.255914907077297","-0.876203765186491,0.737627738665616,0.660555419290014,-0.576518445875279,-0.547912232921916,-0.509703345785378",NA,"ElevWs,WsAreaOver1000,WsAreaSqKm,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PermWs",NA,"-0.588727548647356,-0.502945977304612,-0.456930382290752,0.455984276951622,0.444604439146194,0.432329775940656",NA
"2","DUE",3,"at","fixed_factors",529,8191,15.4839319470699,-2886.45521465767,-4714.91042931534,0.709624838588466,0.946336354775797,1,2985,535,0,"0 ","RdDensWsRp100,PctIce2011Ws,PctGlacLakeFineWs,RunoffWs,RckDepWs,WsAreaOver1000","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,BFIWs,PctGlacLakeFineWs","RunoffWs,PctIce2011Ws,WtDepWs,PctAlluvCoastWs,RckDepWs,BFIWs",NA,"0.683578714022705,-0.655113933393649,0.63124408922865,-0.575296437247862,0.556659005799636,-0.512310213281055","-0.829618313429626,0.556637955878171,0.540995136974769,-0.452393919883485,-0.42682858165416,-0.40259483253097","0.468858703051642,-0.455307429985114,-0.373311678702176,0.348640720295038,0.340156927208811,-0.335003967928933",NA,"PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,ElevWs,PctUrbHi2011WsRp100",NA,"-0.554646650225964,-0.553808876920851,-0.541759141937782,-0.52615444819088,0.491316072462404,-0.490158186348374",NA
"3","DUE",3,"atpc","fixed_factors",548,8191,14.9470802919708,-3346.8469399479,-5597.69387989581,0.737847381745817,0.945879134417539,0.999999999999758,561,69,0,"0 ","RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws,RckDepWs,PctUrbOp2011WsRp100","PctIce2011Ws,RckDepWs,RunoffWs,WtDepWs,PctAlluvCoastWs,PopDen2010Ws","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100",NA,"-0.657069761733808,0.646129706449684,0.637957823756617,-0.545788264900183,0.533936269478592,0.465809854041097","-0.413547910864342,0.392547912456938,0.390115065611372,-0.356233862780494,0.285929499308512,-0.273468000262931","0.856710114567712,-0.723935891348397,-0.630281095371148,0.591343548573285,0.529724353301532,0.510428933483966",NA,"BFIWs,ElevWs,WsAreaSqKm,WsAreaOver1000,PctIce2011Ws,PermWs","PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,ElevWs,PctUrbHi2011WsRp100","-0.629185427183168,-0.584546358628308,-0.556856301007616,-0.521889370019841,-0.30807802060532,0.307502981620548","-0.552664008667308,-0.536312260785782,-0.53426095015955,-0.512229449677669,0.492184338719333,-0.478577674513924"
"4","DUE",4,"pc","fixed_factors",545,8191,15.0293577981651,-3636.80423849206,-6183.60847698411,0.900096218654777,0.975474566161486,0.999999999997763,1195,150,0,"0 ","PctIce2011Ws,RckDepWs,RunoffWs,WtDepWs,PopDen2010Ws,PctAlluvCoastWs","WsAreaSqKm,ElevWs,RdDensWsRp100,WsAreaOver1000,PctUrbOp2011WsRp100,BFIWs","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","RdDensWsRp100,PctGlacLakeFineWs,PctIce2011Ws,RunoffWs,RckDepWs,PctUrbOp2011WsRp100","-0.40257946466602,0.350705859790876,0.338937389731778,-0.281240268428868,-0.258293165424971,0.238505098535115","0.685906664494218,0.53042546132706,-0.494139578483246,0.462849529142903,-0.428755104761338,0.368332535765911","-0.908278187659649,0.680575585523962,0.655653368382385,-0.518664892372236,-0.517890639336226,-0.469064028385676","0.644622062285606,0.622335248357071,-0.606865987482308,-0.605323882182704,0.551376618193153,0.47196346863205","ElevWs,WsAreaOver1000,WsAreaSqKm,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws",NA,"-0.582736807437575,-0.498926673127286,-0.479085532818319,0.432080101190634,0.420255952547054,0.408758543508688",NA
"5","DUE",4,"at","fixed_factors",545,8191,15.0293577981651,-3208.66829141978,-5327.33658283957,0.91261717195557,0.975918599615102,1,2555,486,0,"0 ","RdDensWsRp100,PctIce2011Ws,PctGlacLakeFineWs,RunoffWs,RckDepWs,WsAreaOver1000","ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,RdDensWsRp100,WsAreaOver1000,PopDen2010Ws","RckDepWs,BFIWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs","RunoffWs,PctIce2011Ws,BFIWs,PctAlluvCoastWs,WtDepWs,RckDepWs","0.689043494148869,-0.666642937003651,0.620785205758404,-0.556593613692213,0.549806396644284,-0.527360025919445","0.66050933914108,0.626515601880104,-0.571257288952278,-0.548094349800576,0.524936315116527,-0.455376376127334","-0.809679397941242,-0.521761161446041,0.485036756448268,0.443863032177102,-0.324839437296975,-0.323862869445838","-0.493588530310789,0.429627183056933,0.419117168475573,-0.341632248302086,0.332571991032621,-0.257223113407243","PctUrbLo2011WsRp100,PctUrbOp2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100",NA,"-0.541976634152867,-0.535331776479215,-0.528990008696477,-0.513631305162278,-0.478916581453827,-0.464634936660393",NA
"6","DUE",4,"atpc","fixed_factors",564,8191,14.5230496453901,-3628.64422615252,-6129.28845230503,0.910085841751053,0.976462575493288,1,2626,488,0,"0 ","RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws,RckDepWs,PctUrbOp2011WsRp100","WsAreaSqKm,ElevWs,RdDensWsRp100,WsAreaOver1000,PctUrbOp2011WsRp100,BFIWs","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100","PctIce2011Ws,RunoffWs,RckDepWs,WtDepWs,PctAlluvCoastWs,PopDen2010Ws","-0.65084175113057,0.64245757703052,0.640934873862079,-0.549744947138718,0.525779224873921,0.466904035820757","0.687227378170036,0.532469500288321,-0.473363248376382,0.465380350685143,-0.410098272145881,0.406965087174052","-0.906764978665373,0.661004849639422,0.63520750353942,-0.504750289332114,-0.486037816333733,-0.43968768486997","0.408508785163139,-0.392619597843344,-0.353811686965815,0.332935160482373,-0.278514861122691,0.268128886670083","BFIWs,ElevWs,WsAreaSqKm,WsAreaOver1000,PermWs,PctIce2011Ws","PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,ElevWs,PctUrbHi2011WsRp100","-0.630078349562534,-0.572112747063595,-0.55983410957484,-0.514316050291544,0.294344748921922,-0.290515263377312","-0.532888626159237,-0.51973148793973,-0.509880681026571,-0.491397063445918,0.461407320021964,-0.452848080387063"
