"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DUE",3,"pc","fixed_factors",669,9282,13.8744394618834,12243.0956353537,25824.1912707075,0.810337109526948,0.957899496200676,0.993498247380043,7,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,BFIWs,ElevWs,RckDepWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,WtDepWs,BFIWs,RckDepWs","PermWs,BFIWs,RdDensWsRp100,RunoffWs,PctUrbOp2011WsRp100,RckDepWs",NA,"-0.65437621036424,0.448403979093292,0.446936895504198,-0.386333729554236,-0.32872939249939,0.298897996815962","0.650716768625578,-0.476393770561755,0.382275492389622,-0.369978564266623,-0.368298119148768,0.313562552113599","-0.376853950759244,-0.366542326815334,-0.277492285461791,0.206722237919959,-0.203053881004419,-0.200789358384162",NA,"OmWs,RunoffWs,BFIWs,PopDen2010Ws,PctUrbMd2011WsRp100,WtDepWs",NA,"0.625636864859579,0.425970138232093,-0.422431726283248,-0.291459284259569,-0.270391835884282,-0.267117934315907",NA
"2","DUE",3,"at","fixed_factors",669,9282,13.8744394618834,12174.3121751842,25686.6243503684,0.813500170760297,0.95836074310719,0.993190477354681,21,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,BFIWs,RckDepWs,ElevWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,WtDepWs,BFIWs,RckDepWs","BFIWs,RunoffWs,PermWs,WtDepWs,RdDensWsRp100,WsAreaOver1000",NA,"-0.670226767146542,0.452274748922751,0.432100847961632,-0.353784028220804,0.312979207586666,-0.305828247990865","0.672410220648319,-0.448243436055922,0.39799584131637,-0.384347997835877,-0.346479579578461,0.305057921162027","0.479399206546732,-0.412959834775287,0.333789702967113,0.278418766009098,0.190849676890105,0.138053698918823",NA,"RunoffWs,PctUrbOp2011WsRp100,PopDen2010Ws,PctGlacLakeFineWs,PermWs,PctUrbHi2011WsRp100",NA,"-0.545969319128394,0.374928149101951,0.35662271556692,0.338541758749971,0.327580557581685,0.322921241865677",NA
"3","DUE",3,"atpc","fixed_factors",693,9282,13.3939393939394,12154.3277516173,25694.6555032346,0.814831232051169,0.958752804892925,0.99315422092074,24,3,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,BFIWs,RckDepWs,ElevWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,WtDepWs,BFIWs,RckDepWs","BFIWs,RunoffWs,PermWs,WtDepWs,RdDensWsRp100,WsAreaOver1000",NA,"-0.666673355751118,0.450134153505836,0.43563917367014,-0.353804273046265,0.30741081703809,-0.300742915363707","0.672166363819723,-0.452975806230013,0.408148330383334,-0.399190412638736,-0.349808759119342,0.314045683563305","0.471078285806099,-0.410042083294712,0.330658021849773,0.295239070405272,0.184337882313844,0.143698084352109",NA,"ElevWs,PctUrbOp2011WsRp100,PopDen2010Ws,WsAreaSqKm,PctUrbLo2011WsRp100,PctImp2006WsRp100","RunoffWs,PctUrbOp2011WsRp100,PopDen2010Ws,PctGlacLakeFineWs,PermWs,PctUrbHi2011WsRp100","-0.48872504557712,0.47733485792585,0.428475245717396,-0.41334920779192,0.406516994417862,0.402699831269517","-0.544175872806335,0.380986290855714,0.360279850618599,0.340240981304786,0.32731532307879,0.32636186728382"
"4","DUE",4,"pc","fixed_factors",690,9282,13.4521739130435,12025.1636958482,25430.3273916964,0.890151657242407,0.96190284815708,0.993092985568386,20,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,ElevWs,PctUrbLo2011WsRp100","PctIce2011Ws,RunoffWs,RckDepWs,PctAlluvCoastWs,WtDepWs,BFIWs","RunoffWs,BFIWs,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,PopDen2010Ws","WtDepWs,RckDepWs,PctIce2011Ws,PctAlluvCoastWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.826363637770903,0.560190842777909,0.542164753100001,-0.45346058115795,-0.410387732827934,0.343304367390432","-0.530730222481146,0.482946363885143,0.396515445440125,0.395177736797228,-0.365940500654242,-0.193649680115171","0.693830459694545,-0.595199683942703,-0.453167698580541,-0.423773844473531,-0.370963899994805,-0.306684910495296","0.746119895893184,-0.724928247356254,0.63458083217483,-0.470286695904952,-0.467173188910205,-0.378643818715874","OmWs,WtDepWs,PctIce2011Ws,PctAlluvCoastWs,RunoffWs,BFIWs",NA,"0.663240576773147,-0.471953257892912,-0.391092463526175,0.363724056168764,0.353795342498524,-0.348092728987788",NA
"5","DUE",4,"at","fixed_factors",690,9282,13.4521739130435,11943.3863304837,25266.7726609674,0.888028926498792,0.965400477463575,0.993010919480567,7,1,0,"0 ","WtDepWs,RckDepWs,PctUrbOp2011WsRp100,RdDensWsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs","WtDepWs,RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws","WtDepWs,RckDepWs,PctIce2011Ws,RdDensWsRp100,PctAlluvCoastWs,PctUrbOp2011WsRp100","-0.701410162760884,0.633536026302796,0.540832447532226,0.534265077643316,0.527986874495385,0.49146413678485","0.510827920324452,-0.494551747579511,0.385755263881898,0.358547488628871,-0.33790126282319,-0.186859089534698","-0.714694316139883,0.513957122001143,0.474181846053356,-0.408487236334639,0.400903722143368,-0.366037519544662","0.785208757686426,-0.745976696437784,0.6833383050601,-0.527346632194222,-0.524305347249245,-0.457917147262531","PctUrbOp2011WsRp100,RunoffWs,RdDensWsRp100,PopDen2010Ws,PermWs,PctImp2006WsRp100",NA,"0.675361023012994,-0.649441364644239,0.613479073839431,0.589158656104829,0.570149517992639,0.558414953460112",NA
"6","DUE",4,"atpc","fixed_factors",714,9282,13,11919.8319742354,25267.6639484708,0.888839531557831,0.965591756760678,0.993001544315447,19,2,0,"0 ","WtDepWs,RckDepWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,RdDensWsRp100,PctImp2006WsRp100","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs","WtDepWs,RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws","WtDepWs,RckDepWs,PctIce2011Ws,PctAlluvCoastWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.730028621061828,0.641216560772178,0.531311144856387,0.524648206716754,0.52065852267201,0.486794800202425","0.513906180657266,-0.500802975013065,0.39379846663472,0.366147355614867,-0.349164776746783,-0.191508202615714","-0.703650155991961,0.527700687652313,0.467403590741754,-0.416608609535617,0.388456532717331,-0.358786475871563","0.785237215006082,-0.746330721599553,0.687875105737803,-0.522961238962707,-0.52206722609676,-0.451019567709214","ElevWs,PctUrbOp2011WsRp100,PopDen2010Ws,PctUrbLo2011WsRp100,RdDensWsRp100,PctImp2006WsRp100","PctUrbOp2011WsRp100,RunoffWs,RdDensWsRp100,PopDen2010Ws,ElevWs,PermWs","-0.527594840998131,0.508154568610121,0.437696400427209,0.421304827235969,0.419610224679137,0.415071218061592","0.677504238892961,-0.643805330888,0.614272394175155,0.588720591584138,-0.567165832520392,0.565829287490364"
