"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DUE",3,"pc","fixed_factors",525,9282,17.68,12346.8498713121,25743.6997426242,0.809438263561035,0.957076885418358,0.993775237070797,28,3,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,BFIWs,ElevWs,RckDepWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,BFIWs,WtDepWs,RckDepWs","PermWs,BFIWs,RdDensWsRp100,RckDepWs,PctUrbOp2011WsRp100,RunoffWs",NA,"-0.657278886468416,0.463289296009837,0.452449623588047,-0.392663653033217,-0.323982203910577,0.309871665310362","0.65124741376213,-0.447460717538422,0.373439406904772,-0.360069704936776,-0.34494660706635,0.295725420000196","-0.380989262215657,-0.355402714718049,-0.284424164403432,-0.214133910102308,-0.210848362707429,0.196588912561065",NA,"OmWs,RunoffWs,PctGlacLakeFineWs,RckDepWs,WsAreaSqKm,PctCrop2011Ws","PctGlacLakeFineWs,OmWs,RunoffWs,RckDepWs,PctAlluvCoastWs,WsAreaOver1000","0.392046554311731,-0.333895139972051,-0.301625985780168,-0.177904022256788,-0.146554326530686,0.132560295043514","0.427647576763509,-0.281815663871048,0.247970138123198,0.229312234549839,0.222236125179237,-0.216170348330134"
"2","DUE",3,"at","fixed_factors",525,9282,17.68,12254.9676742002,25559.9353484005,0.819170949777477,0.95751004084659,0.993093015502415,24,3,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,ElevWs","RunoffWs,PctIce2011Ws,WtDepWs,PctAlluvCoastWs,BFIWs,RckDepWs","BFIWs,RunoffWs,PermWs,WtDepWs,WsAreaOver1000,RdDensWsRp100",NA,"-0.660449458300717,0.454890999225358,0.44989833731221,-0.363995021517068,0.29887618589907,-0.296008516886656","0.660184312534235,-0.464283963488212,-0.423860875632997,0.420308163559235,-0.343887794787291,0.335050980551828","0.452053782091616,-0.383893785452886,0.316009608561946,0.315776504000531,0.164976955211043,0.164209173257516",NA,"RunoffWs,BFIWs,PctGlacLakeFineWs,PctIce2011Ws,WtDepWs,ElevWs","RunoffWs,PctGlacLakeFineWs,BFIWs,OmWs,PctCrop2011Ws,RckDepWs","0.500095554012416,-0.39002607492771,0.389297113827155,-0.381810939788517,-0.360071817119399,-0.332567285356365","-0.483976142945952,-0.248587143337083,0.238365440988496,0.217034384755263,0.195402114919673,0.185814438636567"
"3","DUE",3,"atpc","fixed_factors",669,9282,13.8744394618834,12171.1993880628,25680.3987761256,0.814109702193445,0.957941848235426,0.993484791476309,21,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,BFIWs,ElevWs,RckDepWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,WtDepWs,BFIWs,RckDepWs","BFIWs,PermWs,RunoffWs,WtDepWs,RdDensWsRp100,WsAreaOver1000",NA,"-0.662489711459203,0.441048177811976,0.405823549013741,-0.333328553873399,-0.305303066892119,0.299562875430498","0.685701326826072,-0.437892273642403,0.392603491617553,-0.383955720264942,-0.36284622216412,0.30537351070149","0.435260377312506,0.348252688656728,-0.336069534466538,0.22818616462414,0.210631942642288,0.139032032710774",NA,"PctGlacLakeFineWs,ElevWs,RunoffWs,BFIWs,PctIce2011Ws,WtDepWs","RunoffWs,RckDepWs,OmWs,WsAreaSqKm,WtDepWs,PctAlluvCoastWs","0.503414387508813,-0.39394556536081,0.364961864071806,-0.362067640686652,-0.332517193735069,-0.305935002623505","-0.423938636164673,-0.34137063147831,0.317836611532159,-0.3083087396427,0.275886993129954,-0.227212202397147"
"4","DUE",4,"pc","fixed_factors",546,9282,17,12134.6838783239,25361.3677566478,0.895839664126157,0.963316358077405,0.993398781142747,7,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,ElevWs,RunoffWs","PctIce2011Ws,RunoffWs,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs","RunoffWs,BFIWs,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,PopDen2010Ws","WtDepWs,RckDepWs,PctIce2011Ws,PctAlluvCoastWs,RdDensWsRp100,PctUrbOp2011WsRp100","-0.818732065941336,0.557500125850201,0.539928212555117,-0.451539988757971,-0.401949108118346,0.354778436551626","-0.508037936338319,0.504153266510179,0.396363709206202,0.384108098311818,-0.358941327101318,-0.203109602179304","0.676417329045865,-0.580877480469836,-0.475202224942529,-0.454995490245239,-0.396815131867078,-0.321649598017783","0.742898971904268,-0.726998499041301,0.627906328936926,-0.468245772826805,-0.466287399146824,-0.37955747844919","PctGlacLakeFineWs,RckDepWs,RunoffWs,PctIce2011Ws,WtDepWs,OmWs","PctGlacLakeFineWs,RckDepWs,PctIce2011Ws,WtDepWs,ElevWs,PctAlluvCoastWs","-0.38141424632117,-0.352667487922696,-0.335974339136938,0.296002748441001,0.278467808512546,0.256729293454332","0.516194435626185,0.394959969374053,-0.354266302023438,-0.354134283896934,-0.28287886581529,0.276689937947645"
"5","DUE",4,"at","fixed_factors",546,9282,17,12037.9840188812,25167.9680377624,0.887120694521684,0.964802960833965,0.993080217629163,7,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,BFIWs,PctIce2011Ws","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs","WtDepWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100","WtDepWs,RckDepWs,PctIce2011Ws,RdDensWsRp100,PctAlluvCoastWs,PctUrbOp2011WsRp100","-0.738217943214448,0.494611399841345,0.493997412903389,0.426024628013158,-0.385873463411575,-0.383129865582186","0.522000622501901,-0.491572661251726,0.381943834227627,0.353236500043092,-0.338323518195723,-0.200160010516374","0.621326362218684,-0.601683091908818,-0.555052527626022,-0.542583296775574,-0.510783221014669,-0.476879623684248","0.781325542413298,-0.744207874988361,0.673495644527363,-0.534975343190241,-0.512990631932943,-0.463367185432053","WtDepWs,PctIce2011Ws,ElevWs,PctGlacLakeFineWs,RckDepWs,PctAlluvCoastWs","PctIce2011Ws,PctGlacLakeFineWs,RunoffWs,WtDepWs,RckDepWs,PopDen2010Ws","-0.583138393798936,-0.550727963882541,-0.438412587628758,0.437661110445973,0.432667080563546,0.431154444318184","0.405572604163196,-0.386436969618222,-0.37725273149752,0.373367212910892,-0.189572618726389,-0.182134072613814"
"6","DUE",4,"atpc","fixed_factors",690,9282,13.4521739130435,11948.6008558254,25277.2017116508,0.89045905963562,0.965039965755373,0.993280377356843,18,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs","WtDepWs,RckDepWs,PctIce2011Ws,RdDensWsRp100,PctAlluvCoastWs,PctUrbOp2011WsRp100","WtDepWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100","-0.739571961765364,0.491715882223919,0.478236725721392,0.429969681491563,-0.377995944527537,-0.373341260315668","0.509538689697298,-0.47936668285139,0.36562977751192,0.347107840221056,-0.310576701305155,-0.186524552765825","0.774759275880202,-0.746822764026372,0.668313281333593,-0.531044132727855,-0.49802258535051,-0.45404037050472","-0.610374400998594,0.590842700046498,0.558081264943059,0.546408664896935,0.513788191832085,0.481006057538049","WtDepWs,PctIce2011Ws,PctGlacLakeFineWs,ElevWs,RckDepWs,PctUrbOp2011WsRp100","RunoffWs,WsAreaSqKm,OmWs,RckDepWs,PopDen2010Ws,PctUrbOp2011WsRp100","-0.579461201020722,-0.538592847051499,0.525699482203076,-0.51046487723269,0.446851122367153,0.435075789754138","-0.523122506984245,-0.351517203986652,0.271341965537574,-0.266026073910211,0.23483780863886,0.23100657841308"
