"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"17","DE",3,"at","fourier",682,8191,12.0102639296188,-1827.72217397016,-2291.44434794032,0.664550681753027,0.965872246159424,0.991188845889514,8,1,0,"0 ","ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,RunoffWs,PopDen2010Ws,PctUrbLo2011WsRp100","PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,RunoffWs,BFIWs","RckDepWs,PctIce2011Ws,RdDensWsRp100,BFIWs,WtDepWs,PctGlacLakeFineWs",NA,"-0.773544560377416,0.727307506590615,0.657631559371893,-0.606097873638437,0.60540693525315,0.562596036774704","-0.449353763631736,0.358332136142786,-0.326078165999555,-0.256945817114345,0.242345939552171,-0.228358758661111","-0.82484734079082,0.516459044628652,-0.514873012389629,-0.511074412518327,0.497011250348973,-0.477647837521794",NA,"PctIce2011Ws,ElevWs,WtDepWs,RdDensWsRp100,RckDepWs,PctUrbOp2011WsRp100",NA,"0.877255546558297,0.67365313970222,0.657786592455483,-0.637610656061528,-0.613827257069396,-0.595922521030868",NA
"18","DE",3,"atpc","fourier",1176,8191,6.96513605442177,-2599.7671400668,-2847.53428013361,0.716055679707973,0.96986290682699,0.992116906902829,4405,733,0,"0 ","RunoffWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,PopDen2010Ws,ElevWs","PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,PctUrbHi2011WsRp100,RunoffWs","RckDepWs,PctIce2011Ws,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100,WtDepWs",NA,"-0.810532287475488,0.687362356501471,0.683165854393582,0.681287716476787,0.551854680037993,-0.53077550580793","-0.4278547674744,0.389993071911442,-0.332676512749756,-0.274375733309319,-0.233985697543689,0.225926433180826","-0.859413078791665,0.641618293064783,-0.612719433532421,-0.556213180566367,-0.552199631913921,0.550502432959944",NA,"PctIce2011Ws,ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs,WtDepWs","WtDepWs,ElevWs,PctIce2011Ws,BFIWs,PctAlluvCoastWs,WsAreaSqKm","0.906025213010305,0.657301428015063,-0.613407210370631,-0.546173573291528,-0.544186296657923,0.505753142171438","-0.671595825709862,-0.638897705980961,-0.618789189244682,-0.555246103641439,0.442931888724528,-0.439686213170819"
"19","DE",4,"pc","fixed_factors",888,8191,9.2240990990991,-2929.59230432145,-4083.1846086429,0.845396930228093,0.976103381536466,0.991195286713652,46,5,0,"0 ","RdDensWsRp100,PctUrbOp2011WsRp100,RunoffWs,ElevWs,PctGlacLakeFineWs,PctIce2011Ws","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,RdDensWsRp100,PopDen2010Ws","RckDepWs,BFIWs,RdDensWsRp100,PctIce2011Ws,PermWs,PctGlacLakeFineWs","BFIWs,ElevWs,WsAreaSqKm,WtDepWs,OmWs,PctIce2011Ws","0.743841511244473,0.700367621931492,-0.682007582446836,-0.675760266521029,0.643257106122815,-0.625162343853792","-0.54441154008356,0.518698104212898,-0.434508071505618,0.255238314813787,0.183223518573915,-0.178389696270098","-0.846430019796104,-0.57332726678049,-0.552380355089975,0.544280388784652,-0.515115514762791,-0.498949140387698","-0.722419361019864,-0.64450348211657,-0.423407000002035,-0.388324524019767,0.358512345118536,-0.297621461029734","WtDepWs,PctIce2011Ws,ElevWs,BFIWs,PctAlluvCoastWs,WsAreaSqKm",NA,"-0.660146283620072,-0.644251044301502,-0.613960546817936,-0.501954270843873,0.479678280418023,-0.454347720423401",NA
"20","DE",4,"at","fixed_factors",888,8191,9.2240990990991,-2659.75676161121,-3543.51352322242,0.842173621851809,0.976102469240396,0.991837496667764,2618,460,0,"0 ","PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs,PctUrbOp2011WsRp100,PermWs","BFIWs,PctIce2011Ws,WtDepWs,RunoffWs,RckDepWs,PctAlluvCoastWs","RckDepWs,BFIWs,WsAreaSqKm,PctGlacLakeFineWs,RunoffWs,PctIce2011Ws","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbHi2011WsRp100","-0.798562415936732,0.746327923927436,-0.68410586866967,0.682829907923983,0.634985395066662,0.587075123368837","-0.466325344560216,-0.465179483583523,-0.405249616102488,0.360385755162189,0.298033718968845,0.283202602244562","-0.693105690992173,-0.661759922036875,-0.384880962315357,-0.311736081499563,0.291342165600801,0.263118987493865","-0.598518024448791,0.504452361995287,0.477281636012854,0.458380256295005,0.453061665290075,0.412604874154582","PctIce2011Ws,ElevWs,WtDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs",NA,"0.724638691025038,0.621600494115907,0.61415057424275,-0.509902027472947,-0.479687153356627,-0.466386123975666",NA
"21","DE",4,"atpc","fixed_factors",1382,8191,5.92691751085384,-3366.36888688933,-3968.73777377865,0.874815338891549,0.97812762522848,0.992714330405323,4476,804,0,"0 ","RdDensWsRp100,RunoffWs,PctUrbOp2011WsRp100,PctGlacLakeFineWs,ElevWs,PctIce2011Ws","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,PopDen2010Ws,BFIWs","RckDepWs,BFIWs,RdDensWsRp100,PctIce2011Ws,PermWs,PctGlacLakeFineWs","ElevWs,BFIWs,WsAreaSqKm,WtDepWs,OmWs,PctIce2011Ws","0.752035132484054,-0.709860132295092,0.681389249550113,0.679708061819445,-0.621177930859656,-0.606234158104451","-0.516922238561974,0.483197191293795,-0.430769965085536,0.256262409047598,-0.224960762318751,-0.202958285178769","-0.844305010915404,-0.568997873083265,-0.554451296757423,0.551383254837249,-0.496022301965093,-0.494830618790261","-0.697435729332434,-0.662153770034939,-0.471614613426134,-0.378049712956323,0.374916574417708,-0.336588942359888","PctIce2011Ws,ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,PermWs,RckDepWs","WtDepWs,PctIce2011Ws,ElevWs,BFIWs,PctAlluvCoastWs,PctUrbLo2011WsRp100","0.731196563996825,0.555242880552847,-0.492020284213048,-0.463807576159214,-0.461061404135708,-0.431726304101894","-0.725531197580893,-0.556818755498471,-0.535823858759864,-0.487101299161533,0.472674935450418,0.378478944949132"
"22","DE",4,"pc","fourier",698,8191,11.7349570200573,-2438.72605163566,-3481.45210327131,0.843667306369968,0.974513645902018,0.990979194713685,8,1,0,"0 ","ElevWs,BFIWs,WsAreaSqKm,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,PopDen2010Ws,BFIWs","RckDepWs,BFIWs,PctIce2011Ws,RdDensWsRp100,PctGlacLakeFineWs,PermWs","ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,RunoffWs,PctGlacLakeFineWs,PctUrbLo2011WsRp100","0.73710476142843,0.615895346612518,0.474442441047376,0.375214673642265,0.368084792841008,-0.366970556033044","-0.496356398602178,0.423196249735338,-0.384539724885743,0.227463847311588,-0.218286039127834,-0.209631592792696","-0.832284407827261,-0.604625830809023,0.502248355244285,-0.498564737473568,-0.472501144315657,-0.45040240915948","-0.769367990836628,0.721360362582329,0.700116472543828,-0.673108858251807,0.579106130169695,0.558303967748357","PctIce2011Ws,ElevWs,WtDepWs,RdDensWsRp100,WsAreaSqKm,PctUrbOp2011WsRp100",NA,"-0.815231003989229,-0.706487440694517,-0.575912860199433,0.549283951524745,-0.548891072661854,0.482015337302221",NA
"23","DE",4,"at","fourier",698,8191,11.7349570200573,-2225.45711674945,-3054.91423349891,0.829289681308209,0.973710240358475,0.991461710931427,9,1,0,"0 ","ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,PermWs,PctUrbLo2011WsRp100,PopDen2010Ws","PctIce2011Ws,WtDepWs,RckDepWs,BFIWs,PctAlluvCoastWs,RunoffWs","RckDepWs,BFIWs,RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctIce2011Ws","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,WtDepWs,PopDen2010Ws","-0.85913716419778,0.756405411497292,0.728212788689518,0.591963137370261,0.578328014977716,0.576906862581295","-0.51315561736226,-0.390913575113031,0.35499549518238,-0.344376713731173,0.249086257621203,0.246334953263887","-0.744079182439732,-0.688299721442589,0.414286949159036,-0.411607726472435,-0.361920632112746,0.320652626864004","-0.725489583009228,0.508443740472453,0.459626395396072,0.423514617951739,-0.409139538353964,0.398184515652461","PctIce2011Ws,ElevWs,WtDepWs,RdDensWsRp100,RckDepWs,PctUrbOp2011WsRp100",NA,"0.878256477039579,0.686716499784313,0.66380084493409,-0.6287826716388,-0.602640621016288,-0.590177022881691",NA
"24","DE",4,"atpc","fourier",1192,8191,6.87164429530201,-2915.78139303039,-3447.56278606078,0.861120043376531,0.977107308347416,0.992448503538197,3515,625,0,"0 ","RunoffWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs,PctGlacLakeFineWs,PermWs","PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,BFIWs,PctUrbHi2011WsRp100","RckDepWs,BFIWs,RdDensWsRp100,PctIce2011Ws,PermWs,PctGlacLakeFineWs","ElevWs,BFIWs,WsAreaSqKm,PctIce2011Ws,PctUrbOp2011WsRp100,OmWs","-0.750513390921653,0.721771393101524,0.700620766020098,-0.677311703419127,0.660684379377993,0.537502529722879","-0.460134428102845,0.378669723375712,-0.368644788528132,-0.267582979624446,-0.253327897217829,-0.229179673640427","-0.844110255970181,-0.591522772754687,-0.535584349831472,0.524803139637629,-0.494627469403207,-0.485487815115288","-0.757429704620737,-0.565491906389065,-0.489763616534572,-0.404699507310218,0.402457148572047,0.390713077956551","PctIce2011Ws,ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs,PermWs","WtDepWs,PctIce2011Ws,ElevWs,BFIWs,PctAlluvCoastWs,PctUrbLo2011WsRp100","0.900527379860877,0.687751071008419,-0.613679590974886,-0.55145072925843,-0.511525599269984,-0.502530021985639","-0.713188833082376,-0.595907007258779,-0.563728999052457,-0.493550473719769,0.476764953065535,0.388173800956824"
"25","DUE",1,"pc","fixed_factors",855,8191,9.58011695906433,-2061.61148599636,-2413.22297199272,0.66206717853573,0.917927429977384,0.997240058552055,1893,333,0,"0 ","PctIce2011Ws,PopDen2010Ws,RckDepWs,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,RunoffWs",NA,NA,NA,"-0.365702312932272,-0.298693685634523,0.269562259219404,-0.263613818686928,-0.249132096385628,0.238769943099475",NA,NA,NA,"ElevWs,PctIce2011Ws,WtDepWs,WsAreaSqKm,BFIWs,PctUrbOp2011WsRp100",NA,"-0.727480884094084,-0.629570916836708,-0.62280413019869,-0.53165522361065,-0.515573184311423,0.484254382239734",NA
"26","DUE",1,"at","fixed_factors",855,8191,9.58011695906433,-1820.04448351756,-1930.08896703512,0.661896104747385,0.918261813898075,0.996949685888415,2774,498,0,"0 ","PctIce2011Ws,BFIWs,WsAreaSqKm,WtDepWs,ElevWs,RunoffWs",NA,NA,NA,"-0.519984829607997,-0.436295103851386,-0.323693487604634,-0.262086976712442,-0.259009789380915,0.230923175953532",NA,NA,NA,"PctIce2011Ws,RdDensWsRp100,ElevWs,WtDepWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100",NA,"0.67349931193623,-0.521853837769524,0.492562181310203,0.489102929981651,-0.450767242441427,-0.428604603097084",NA
