"","R","m","cov","seasonality","focal_months","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"38","DUE",1,"at","fourier","Nov Dec Jan Feb",840,9282,11.05,12727.8899955822,27135.7799911644,0.791773009895185,0.948453288666884,0.981011565533555,37,6,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.658661679894937,-0.506015868451798,0.492640325422226,-0.376509582374933,-0.347098376492527,0.338288404363817",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs",NA,"0.418593060191641,0.32361716614352,-0.291438727096028,0.237436487161757,-0.228002201825267,0.190620411133908",NA
"39","DUE",1,"atpc","fourier","Nov Dec Jan Feb",1464,9282,6.34016393442623,12447.7937365597,27823.5874731194,0.800550169402286,0.952631765156464,0.981604088858016,37,6,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.669974358121312,-0.494154857411521,0.487703922118547,-0.375042629448016,-0.349770169335938,0.329381296948122",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs","PctUrbHi2011WsRp100,PopDen2010Ws,PctUrbOp2011WsRp100,PctImp2006WsRp100,ElevWs,PctUrbLo2011WsRp100","0.367758933213965,0.32300404134843,-0.241747996199974,0.222262639625104,-0.202627752093982,0.197134469374863","0.415251364430644,0.366595537041529,0.337019397923039,0.320386973355754,-0.316399511241466,0.30828904116774"
"40","DUE",1,"atpcsn","fourier","Nov Dec Jan Feb",2088,9282,4.44540229885058,12057.5410948477,28291.0821896955,0.809361819375951,0.958036110260047,0.981749444389374,2799,802,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.641108823343192,-0.568996026695334,0.493941115717324,-0.427776141173013,0.392603500394712,-0.333158863421964",NA,NA,NA,"ElevWs,BFIWs,WtDepWs,RckDepWs,PctAlluvCoastWs,WsAreaSqKm","PctUrbHi2011WsRp100,PctGlacLakeFineWs,PopDen2010Ws,RunoffWs,PctUrbOp2011WsRp100,RdDensWsRp100","-0.518364316389749,-0.493146196852006,-0.487389978348633,0.44347796337422,0.42872333689141,-0.42011211099458","0.395187332949124,0.354412770681168,0.334713649597483,-0.320001217697198,0.302507005653514,0.283356554119561"
"41","DUE",2,"pc","fixed_factors","Nov Dec Jan Feb",1103,9282,8.41523118766999,12080.2321021896,26366.4642043792,0.811563318897093,0.957964487842031,0.990866684389353,7,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,BFIWs,PctIce2011Ws,RckDepWs","RunoffWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,WtDepWs,BFIWs",NA,NA,"-0.706045271271606,0.577910504946466,0.555422834834667,-0.432368330572995,-0.42985993022874,0.42657869428473","0.507508250053028,-0.337973035007103,0.318570140913284,0.209976379002308,-0.204735739620321,-0.17933367630117",NA,NA,"ElevWs,WsAreaSqKm,BFIWs,RckDepWs,PctIce2011Ws,PctUrbLo2011WsRp100",NA,"-0.300110760088792,-0.28995240554833,-0.282022589894975,-0.256639474548067,0.206360767833211,0.178695535721512",NA
"42","DUE",2,"at","fixed_factors","Nov Dec Jan Feb",1103,9282,8.41523118766999,11968.4940790856,26142.9881581713,0.81503626748675,0.957764023482353,0.988382474067944,8,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,ElevWs","PopDen2010Ws,PctImp2006WsRp100,PctUrbLo2011WsRp100,RunoffWs,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100",NA,NA,"-0.757301765828247,0.581846729189658,0.496767103187091,0.465177984274773,-0.396822922733639,-0.358971912444427","-0.394129451694182,-0.386688161078439,-0.385871114484047,0.378879764425726,-0.378079221105976,-0.371792444834847",NA,NA,"ElevWs,WtDepWs,PctAlluvCoastWs,RckDepWs,BFIWs,PctGlacLakeFineWs",NA,"-0.590591891076648,-0.500220221864866,0.478092823896406,0.469650722046649,-0.364335911781997,0.350094879322874",NA
"43","DUE",2,"atpc","fixed_factors","Nov Dec Jan Feb",1727,9282,5.37463810075275,11683.0271037967,26820.0542075933,0.829941949136895,0.960360457420869,0.991059213324107,19,2,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs","RunoffWs,PopDen2010Ws,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbLo2011WsRp100",NA,NA,"-0.702710759014619,0.591372159662453,0.562813433397872,0.44202702397127,-0.429558753994248,-0.389157720461594","0.430750314083897,-0.354075871786244,-0.343052544740766,-0.340072041251296,-0.332574966491796,-0.332032813712699",NA,NA,"ElevWs,WtDepWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,PctUrbOp2011WsRp100","PctUrbHi2011WsRp100,RunoffWs,PctGlacLakeFineWs,PopDen2010Ws,RdDensWsRp100,PctUrbOp2011WsRp100","-0.585182338563369,-0.565367657652358,0.558789361317832,0.500417989220695,-0.395387128763599,0.33470220313372","0.287834710084175,-0.240733742298564,0.240199966338049,0.237063146009551,0.212301663038875,0.205730902802853"
"44","DUE",2,"atpcsn","fixed_factors","Nov Dec Jan Feb",2351,9282,3.94810718843046,11398.0309550034,27498.0619100067,0.834348706915353,0.963455435391209,0.991615408728306,3671,1054,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs","RunoffWs,PctIce2011Ws,PopDen2010Ws,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PctImp2006WsRp100",NA,NA,"-0.696197818743123,0.594422853804817,0.546574748616215,0.453562024700104,-0.452962427754241,-0.379529625820646","0.382915811762412,-0.253753699167036,-0.216812219343423,-0.204218259300092,-0.203701300540527,-0.201816880579831",NA,NA,"ElevWs,WtDepWs,BFIWs,WsAreaSqKm,PctAlluvCoastWs,RckDepWs","RunoffWs,PctUrbHi2011WsRp100,PctGlacLakeFineWs,PopDen2010Ws,RdDensWsRp100,PctUrbOp2011WsRp100","-0.577264078387844,-0.529181377387166,-0.499928468104522,-0.478503157821645,0.420657911167143,0.408871279130919","-0.402680325647812,0.34138086052103,0.327720345000491,0.284381344979037,0.272720401403858,0.259312184072019"
"45","DUE",2,"pc","fourier","Nov Dec Jan Feb",863,9282,10.7555040556199,12668.8086010335,27063.617202067,0.789412471648143,0.944187119676333,0.991179058645573,62,9,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,ElevWs,RckDepWs,PctIce2011Ws","RunoffWs,PopDen2010Ws,PctUrbHi2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,PctUrbOp2011WsRp100",NA,NA,"-0.733286516016107,0.574809991231976,0.49675712209066,-0.441324326493819,0.44030683560672,-0.415238636711745","0.49326407582614,-0.245921459727315,-0.235419326971113,-0.230454344674512,-0.229683165673824,-0.229416404945255",NA,NA,"PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbMd2011WsRp100,ElevWs,PctUrbHi2011WsRp100",NA,"0.408025861844731,0.391789416398343,0.385793062327371,0.378095788632315,-0.373985567132645,0.36060064177796",NA
"46","DUE",2,"at","fourier","Nov Dec Jan Feb",863,9282,10.7555040556199,12402.4038748172,26530.8077496345,0.799419537199491,0.957006839902534,0.991320873151486,8,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RckDepWs,ElevWs,PctUrbLo2011WsRp100,PctImp2006WsRp100","RunoffWs,PctUrbOp2011WsRp100,PopDen2010Ws,BFIWs,PctUrbHi2011WsRp100,PctImp2006WsRp100",NA,NA,"-0.810921517391453,0.555258210350168,0.499852839366409,-0.462674123982594,0.398322687948321,0.362150203328336","0.625989788288928,-0.265351851639049,-0.25854839166375,-0.242495937525563,-0.241540725975599,-0.234873151298873",NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs",NA,"0.411972781829408,0.326782575609103,-0.307195431428615,0.251694305920954,-0.231368367445181,0.204004927381985",NA
"47","DUE",2,"atpc","fourier","Nov Dec Jan Feb",1487,9282,6.24209818426362,12135.5213321164,27245.0426642328,0.806876979167941,0.960498430718438,0.992095051741208,20,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RckDepWs,ElevWs,PctUrbLo2011WsRp100,PctIce2011Ws","RunoffWs,BFIWs,PctUrbOp2011WsRp100,PopDen2010Ws,PctIce2011Ws,PctAlluvCoastWs",NA,NA,"-0.821422355510503,0.575318468074816,0.520074038128778,-0.434609226622925,0.363823285787448,-0.361198640991157","0.64462346018072,-0.259134196173477,-0.244482388892395,-0.234632586047755,-0.229742932794816,0.221915012603379",NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs","ElevWs,PctUrbHi2011WsRp100,RdDensWsRp100,PctUrbOp2011WsRp100,PopDen2010Ws,PctImp2006WsRp100","0.370920181980589,0.31940723638661,-0.253032998012335,0.225099555111552,-0.20349718153587,0.194684030622416","-0.313876459691114,0.313591884794179,0.285091749681743,0.281238661295345,0.278971705738999,0.24599670415324"
