"","R","m","cov","seasonality","nparams","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"39","DE",2,"hdr","no_seas",72,11759.0747505258,23662.1495010516,0.215867160154705,0.568980288333057,0.820279373622004,7,1,0,"0 ","BFIWs,RunoffWs,PermWs,PctUrbMd2011WsRp100,RdDensWsRp100,PctIce2011Ws","PctIce2011Ws,WsAreaSqKm,PctCrop2011Ws,PctAlluvCoastWs,ElevWs,RdDensWsRp100",NA,NA,"-0.72203343769112,0.681087912906166,-0.411013471405973,-0.335102367625391,-0.325220002465702,-0.318344479311619","-0.440825832825251,-0.43238023080427,-0.389754466522641,-0.357033896857386,-0.335223795039299,0.310656470405967",NA,NA,"RdDensWsRp100,PermWs,RunoffWs,PctUrbOp2011WsRp100,BFIWs,PctImp2006WsRp100",NA,"-0.585409790252683,-0.574576053621746,0.574430796947248,-0.527169983321743,-0.456374060201717,-0.438832823269687",NA
"40","DE",2,"hd","no_seas",72,11483.2349346239,23110.4698692477,0.244913826317471,0.580943145815674,0.853668264223786,8,1,0,"0 ","RunoffWs,WtDepWs,BFIWs,PermWs,PctAlluvCoastWs,OmWs","PctIce2011Ws,RckDepWs,WtDepWs,PctGlacLakeFineWs,RdDensWsRp100,PctUrbOp2011WsRp100",NA,NA,"0.694222191376506,-0.564693932187444,-0.506706588758377,-0.437643852911104,0.351979447992819,0.351673970934748","0.586640020475242,-0.57396401411712,0.543966103579775,-0.403730177259809,-0.380352442393159,-0.355244408999944",NA,NA,"BFIWs,PctIce2011Ws,WsAreaSqKm,RunoffWs,ElevWs,PctCrop2011Ws",NA,"-0.586308995138209,-0.553936918985401,-0.429004506313273,0.426753517273531,-0.376207007046828,-0.27332654645566",NA
"41","DE",2,"atpc","no_seas",96,11271.3658936987,22734.7317873974,0.304187720127127,0.556206268206029,0.879784643235656,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,RunoffWs","OmWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,RckDepWs,PctUrbOp2011WsRp100",NA,NA,"0.626594855465844,-0.608942957034616,-0.493640956278879,0.37852643439022,0.329898611320773,0.241734313516965","-0.534040898133098,0.492872239594937,0.431682349341632,-0.397209158649861,-0.349376622694246,-0.34791374213562",NA,NA,"PctIce2011Ws,BFIWs,WsAreaSqKm,ElevWs,RunoffWs,PctCrop2011Ws","RdDensWsRp100,PctUrbOp2011WsRp100,PctIce2011Ws,PermWs,PctUrbLo2011WsRp100,PctImp2006WsRp100","0.671401392239882,0.52145299538153,0.448498173239563,0.425917889485519,-0.34952745185558,0.32190709587184","-0.559285097551026,-0.487234650177729,0.47414676642798,-0.460901579684789,-0.426371077298875,-0.415241421414359"
"42","DE",2,"none","no_seas",48,11821.9380738195,23739.8761476391,0.217193075505275,0.566999473895287,0.818111002886558,56,8,0,"0 ","BFIWs,RunoffWs,PermWs,PctUrbMd2011WsRp100,RdDensWsRp100,PctImp2006WsRp100","PctIce2011Ws,WsAreaSqKm,PctCrop2011Ws,PctAlluvCoastWs,ElevWs,RdDensWsRp100",NA,NA,"-0.719972206459896,0.670267949051558,-0.403304353232686,-0.337096540219235,-0.325712315701727,-0.311977126828811","-0.469809790295097,-0.44805999303174,-0.389743045872483,-0.348491357298295,-0.34728143304814,0.297691997404638",NA,NA,NA,NA,NA,NA
"43","DE",3,"at","fixed_factors",382,10595.8191182516,21955.6382365032,0.427666864820533,0.673169348822234,0.911494938353088,67,6,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,PctAlluvCoastWs","WtDepWs,PctIce2011Ws,RckDepWs,OmWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs",NA,"0.624181173296065,-0.513421736291082,-0.465264928626317,0.333902189003934,0.280973470814303,0.276459323698443","0.545407808732412,0.522388249205012,-0.480883632833447,-0.452964596031521,-0.386431503454252,-0.38189169651166","-0.474980407578999,-0.446719127429532,-0.39337965802539,-0.375239876145684,0.370852608963332,0.281070870078398",NA,"PctIce2011Ws,PermWs,RdDensWsRp100,RckDepWs,PctUrbOp2011WsRp100,ElevWs",NA,"0.750666225889883,-0.594448880303669,-0.557721691229393,-0.556489714168604,-0.542523272250816,0.497823051565724",NA
"44","DE",3,"mt","fixed_factors",382,10601.4350184557,21966.8700369114,0.426319914504207,0.671761739616679,0.912313420198559,51,5,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,PctAlluvCoastWs","WtDepWs,PctIce2011Ws,RckDepWs,OmWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs",NA,"0.62429431234867,-0.516628159919629,-0.468973859676767,0.338132474212849,0.282007135481622,0.278112025692948","0.547893073437902,0.531919314310965,-0.479717537925772,-0.466299270379973,-0.388201882530909,-0.378465323240455","-0.471385984587613,-0.452963290610812,-0.399778737339887,-0.38113864217115,0.379449019294729,0.281475075929839",NA,"PctIce2011Ws,RckDepWs,ElevWs,PermWs,PctGlacLakeFineWs,PctUrbOp2011WsRp100",NA,"0.76731271843471,-0.510229328165959,0.509893213165263,-0.484462145333905,-0.420798399398155,-0.418786317915555",NA
"45","DE",3,"pc","fixed_factors",382,10562.9045938673,21889.8091877345,0.429433200881372,0.667437713532382,0.909166413468767,9,1,0,"0 ","RdDensWsRp100,OmWs,PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs","PctIce2011Ws,WtDepWs,OmWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,RdDensWsRp100",NA,"-0.466210340813749,-0.462612686265468,-0.418801607347961,-0.395718430813355,0.386843540089765,0.293402091203983","0.544543393358453,0.540313175164621,-0.503441630833457,-0.45676893966683,-0.388715322652815,-0.370582575747043","-0.622579238680513,0.530215522589372,0.476370651423462,-0.35155087210503,-0.286418571330747,-0.278922111116854",NA,"RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100,PctUrbMd2011WsRp100,PopDen2010Ws",NA,"-0.501159717242614,-0.452124496395104,-0.42374164482269,-0.423613381506709,-0.410212683258554,-0.383117082245463",NA
"46","DE",3,"hdr","fixed_factors",382,10604.0907140729,21972.1814281457,0.426714429037992,0.671949359094786,0.909331529474647,42,4,0,"0 ","RdDensWsRp100,PermWs,OmWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs","PctIce2011Ws,WtDepWs,OmWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,RdDensWsRp100",NA,"-0.479741818826177,-0.437119910401572,-0.428175477722274,-0.405254575196202,0.360356639024347,0.332938997795723","0.54789062601825,0.524325076621507,-0.497177071600778,-0.430153550529179,-0.398218280479302,-0.376236781410832","-0.62403528105036,0.530124861070589,0.471941340851548,-0.349915066420863,-0.290183939764304,-0.276181392604757",NA,"RdDensWsRp100,PermWs,PctUrbOp2011WsRp100,RunoffWs,PctImp2006WsRp100,BFIWs",NA,"-0.597066332922415,-0.579334410343772,-0.55121082510569,0.550851392130987,-0.476462046704852,-0.475295123960044",NA
"47","DE",3,"hd","fixed_factors",382,10599.2768375247,21962.5536750494,0.427410598797395,0.672094623629196,0.910627749504301,27,2,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,PctAlluvCoastWs","WtDepWs,PctIce2011Ws,RckDepWs,OmWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs",NA,"0.623225788244968,-0.512162818604173,-0.465033633288476,0.332748620627463,0.281321771722386,0.275235680881853","0.543846072319435,0.523613926157358,-0.481752107248538,-0.44380190100275,-0.388479402763573,-0.385443396286067","-0.473338836251768,-0.446466647452298,-0.393515090761282,-0.374782681561479,0.367943364721935,0.283463770940872",NA,"PctIce2011Ws,PermWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs",NA,"-0.758081238560761,0.620174617495408,0.597286308048287,0.58086384173988,0.562518013742555,-0.505516922597243",NA
"48","DE",3,"atpc","fixed_factors",406,10490.4729875738,21792.9459751475,0.429268517062611,0.676949829296398,0.910943221722484,14,1,0,"0 ","RdDensWsRp100,OmWs,PermWs,PctUrbOp2011WsRp100,PctIce2011Ws,RunoffWs","WtDepWs,PctIce2011Ws,OmWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,RdDensWsRp100",NA,"-0.46249392073882,-0.461400099794792,-0.417204110400004,-0.390509300308115,0.377715899097017,0.298214637480776","0.53687302386853,0.528028970356325,-0.509482980652098,-0.447559428328232,-0.380281515760253,-0.364717034177001","-0.62364339664136,0.526155329994614,0.471960347386527,-0.346979211928692,-0.28455591142296,-0.278718861188978",NA,"PctIce2011Ws,PermWs,RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs","RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100","0.77006697803696,-0.594313455615606,-0.561687269041399,-0.543517182080698,-0.532164698494,0.519983807530253","-0.492288399697653,-0.436054818750588,-0.41053768958505,-0.408971922418119,-0.399640277483078,-0.370745555698356"
