"","R","m","cov","seasonality","nparams","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"144","UNC",1,"hdr","no_seas",348,10951.3852691065,22598.7705382131,0.00819422953406018,0.141279726122093,0.447955923731743,30,4,0,"0 ","BFIWs,RunoffWs,WsAreaSqKm,PctIce2011Ws,ElevWs,OmWs",NA,NA,NA,"-0.532937942528522,0.404643691306127,-0.374707606128675,-0.331556143752222,-0.281687800977766,-0.205828512688213",NA,NA,NA,"RunoffWs,BFIWs,PctUrbMd2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbHi2011WsRp100",NA,"0.410855794336682,-0.408284568403383,-0.384179429199452,-0.370576323984931,-0.370456387077063,-0.36318494708016",NA
"145","UNC",1,"hd","no_seas",348,10675.8761612664,22047.7523225329,0.00241604685074972,0.131187143431907,0.618367244621897,10,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,ElevWs",NA,NA,NA,"-0.627746588284027,0.485123453079924,0.457035294736297,-0.282801108322857,-0.278454873072293,0.271850754119886",NA,NA,NA,"BFIWs,PctIce2011Ws,RunoffWs,WsAreaSqKm,ElevWs,WtDepWs",NA,"-0.633249918684245,-0.482771362204703,0.478007547219129,-0.39215877840196,-0.370783702179911,-0.187152757715483",NA
"146","UNC",1,"atpc","no_seas",372,10554.4484747639,21852.8969495278,0.0864834805481825,0.216093158095975,0.726818048140367,15,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,ElevWs",NA,NA,NA,"0.630119954452048,-0.486329294207887,-0.45675393756303,0.281939181378414,0.27452922586478,-0.271788845377137",NA,NA,NA,"PctIce2011Ws,BFIWs,ElevWs,WsAreaSqKm,RunoffWs,PctCrop2011Ws","RdDensWsRp100,PctUrbOp2011WsRp100,PctIce2011Ws,PermWs,PctUrbLo2011WsRp100,PctImp2006WsRp100","0.648707793495853,0.532463504943448,0.436837247513201,0.427657581680515,-0.374128323121291,0.272064442003628","-0.574990599716107,-0.466360861785182,0.429076069036916,-0.413632941517482,-0.406890555053558,-0.403129376942571"
"147","UNC",1,"none","no_seas",324,10973.7030510615,22595.4061021229,0.00112519079731737,0.121336877311418,0.418500852543225,25,3,0,"0 ","BFIWs,RunoffWs,WsAreaSqKm,PctIce2011Ws,ElevWs,OmWs",NA,NA,NA,"-0.533971343446814,0.405668748776788,-0.375084133455479,-0.340452597644113,-0.284416890191913,-0.201916803551456",NA,NA,NA,NA,NA,NA,NA
"148","UNC",2,"at","fixed_factors",659,10206.306489321,21730.612978642,0.0794822224757075,0.192729745220535,0.66753307160738,6691,1682,0,"0 ","OmWs,WsAreaSqKm,BFIWs,RunoffWs,WtDepWs,PermWs","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,PctUrbOp2011WsRp100",NA,NA,"0.307120486360377,0.276396917189242,-0.203477410777709,0.183480210146285,-0.162009974423354,-0.0767541932576193","-0.617449295992474,0.436337295353573,0.40743156625865,-0.240754164873593,0.22981315263024,-0.203612295694784",NA,NA,"PermWs,RckDepWs,PctIce2011Ws,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs",NA,"-0.620510669756473,-0.617140308269787,0.615840673056422,-0.539791121402358,-0.534681250267586,0.466164124331853",NA
"149","UNC",2,"mt","fixed_factors",659,10204.7410418003,21727.4820836005,0.0738020752052329,0.189775382644278,0.659524773629969,30,1,0,"0 ","OmWs,WtDepWs,PctIce2011Ws,BFIWs,WsAreaSqKm,RunoffWs","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.493045328886913,-0.314586047138483,-0.224749175328018,-0.189286977196923,0.164785657755433,0.1496817135621","-0.624560566552702,0.45014117424257,0.438462629879176,-0.268555576433376,0.251776296899348,-0.229375136025499",NA,NA,"RckDepWs,PermWs,PctIce2011Ws,ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100",NA,"-0.524849542120852,-0.522385662528199,0.52225238648881,0.443705435206755,-0.391874321879736,-0.365672602167273",NA
"150","UNC",2,"pc","fixed_factors",659,10141.1494684246,21600.2989368491,0.133021043985215,0.281425400563875,0.750583873313723,30,1,0,"0 ","OmWs,WtDepWs,WsAreaSqKm,BFIWs,RunoffWs,PctIce2011Ws","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,RckDepWs,ElevWs",NA,NA,"0.444825405648566,-0.287200840012134,0.233957105722488,-0.196385401914883,0.178247693430588,-0.1715884139259","0.618468907234183,-0.471783146855752,-0.447618648487252,0.263330393657601,0.259510883705945,-0.250271544608646",NA,NA,"RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100,PctUrbLo2011WsRp100",NA,"-0.460216086010106,-0.390942364533149,-0.379209034947965,-0.371095888120217,-0.371082653051051,-0.369831225664631",NA
"151","UNC",2,"hdr","fixed_factors",659,10207.8648452351,21733.7296904702,0.088038489122677,0.21866087586552,0.68914281002504,30,1,0,"0 ","OmWs,WtDepWs,WsAreaSqKm,BFIWs,RunoffWs,PctIce2011Ws","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"0.435567496858269,-0.254611616421482,0.214784283667031,-0.201397639479731,0.159116931850581,-0.137987598362386","-0.623797569780056,0.452911843004686,0.43551425980272,-0.263767404263343,0.250430235916071,-0.230447039979107",NA,NA,"BFIWs,RunoffWs,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100,PopDen2010Ws,PctImp2006WsRp100",NA,"-0.383021032558033,0.371543669135251,-0.313745882623256,-0.29933613884749,-0.298889888579628,-0.297858935271442",NA
"152","UNC",2,"hd","fixed_factors",659,10209.2073725783,21736.4147451565,0.0790330681649561,0.190835227640485,0.673813627287911,29,1,0,"0 ","OmWs,WsAreaSqKm,BFIWs,WtDepWs,RunoffWs,PctIce2011Ws","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,PctUrbOp2011WsRp100",NA,NA,"0.35616555808778,0.252676022547786,-0.207592724601257,-0.205929767598782,0.184384183957642,-0.071973838400204","-0.623800472213224,0.439091097620304,0.419513247595974,-0.249317141832309,0.241190971920612,-0.211589988915989",NA,NA,"RckDepWs,PctIce2011Ws,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs",NA,"0.6830453158683,-0.660532485200073,0.620218997966386,0.547600424133781,0.539918978254165,-0.485318102084067",NA
"153","UNC",2,"atpc","fixed_factors",683,10104.8921668478,21575.7843336955,0.142499647736509,0.284953492348828,0.753076470633385,30,1,0,"0 ","OmWs,WsAreaSqKm,WtDepWs,BFIWs,RunoffWs,PctIce2011Ws","OmWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,ElevWs,RckDepWs",NA,NA,"-0.357489384894518,-0.281764048282259,0.223938399971791,0.211029378191395,-0.195065436884661,0.0782850617467518","0.617221373698149,-0.445158905850631,-0.415541740824325,0.240773294382848,-0.231422664568257,0.212528715003",NA,NA,"RckDepWs,PctIce2011Ws,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs","RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PctUrbLo2011WsRp100","-0.6259370966725,0.624069078763236,-0.617683436008881,-0.525645428766041,-0.522654771452615,0.477158682604922","-0.458923980089515,-0.384868957342648,-0.376302995303183,-0.371822590197299,-0.370748628152351,-0.364813056570538"
