"date","at","at_anom_1900-99"
197001,2.16666666666667,0.666666666666668
197002,5.5,2.22222222222222
197003,5.05555555555556,0.166666666666665
197004,5.55555555555556,-1.94444444444444
197005,10,-0.611111111111112
197006,14.7222222222222,1.44444444444445
197007,16.2222222222222,0.111111111111114
197008,16.0555555555556,-0.166666666666664
197009,12.1666666666667,-1.61111111111111
197010,8.27777777777778,-1.05555555555556
197011,5,0.222222222222221
197012,1.44444444444445,-0.999999999999998
197101,1.66666666666667,0.166666666666665
197102,3.22222222222222,-0.0555555555555562
197103,2.66666666666667,-2.22222222222222
197104,6.66666666666667,-0.833333333333333
197105,10.5555555555556,-0.0555555555555571
197106,11.1666666666667,-2.11111111111111
197107,16.4444444444444,0.333333333333336
197108,17.7222222222222,1.5
197109,12.5,-1.27777777777778
197110,8.11111111111111,-1.22222222222222
197111,4.77777777777778,0
197112,0.944444444444446,-1.5
197201,0.0555555555555564,-1.44444444444445
197202,2.83333333333333,-0.444444444444443
197203,5.38888888888889,0.5
197204,5.16666666666667,-2.33333333333333
197205,11.6111111111111,0.999999999999998
197206,13,-0.277777777777777
197207,16.4444444444444,0.333333333333336
197208,17.0555555555556,0.833333333333332
197209,12,-1.77777777777778
197210,8.11111111111111,-1.22222222222222
197211,5.16666666666667,0.38888888888889
197212,0.388888888888891,-2.05555555555556
197301,1.22222222222222,-0.277777777777778
197302,4.05555555555555,0.777777777777777
197303,4.94444444444444,0.0555555555555562
197304,7.33333333333333,-0.166666666666665
197305,11.0555555555556,0.444444444444443
197306,12.8333333333333,-0.444444444444443
197307,16.1666666666667,0.0555555555555571
197308,14.4444444444444,-1.77777777777778
197309,14.1666666666667,0.388888888888891
197310,8.83333333333333,-0.5
197311,3.16666666666667,-1.61111111111111
197312,4.16666666666667,1.72222222222222
197401,0.777777777777777,-0.722222222222221
197402,3.27777777777778,0
197403,4.5,-0.38888888888889
197404,7.05555555555556,-0.444444444444443
197405,8.72222222222222,-1.88888888888889
197406,13.5,0.222222222222221
197407,15.2222222222222,-0.888888888888889
197408,16.6666666666667,0.444444444444443
197409,16,2.22222222222222
197410,9.72222222222222,0.388888888888891
197411,5.61111111111111,0.833333333333334
197412,3.83333333333333,1.38888888888889
197501,1.94444444444444,0.444444444444443
197502,2.44444444444444,-0.833333333333333
197503,3.5,-1.38888888888889
197504,5.11111111111111,-2.38888888888889
197505,10.1666666666667,-0.444444444444443
197506,12.3888888888889,-0.888888888888889
197507,16.5555555555556,0.444444444444443
197508,14.6111111111111,-1.61111111111111
197509,14.6666666666667,0.888888888888889
197510,8.72222222222222,-0.611111111111111
197511,4.33333333333333,-0.444444444444443
197512,3.05555555555556,0.611111111111112
197601,3.16666666666667,1.66666666666667
197602,2.72222222222222,-0.555555555555556
197603,3.11111111111111,-1.77777777777778
197604,6.83333333333333,-0.666666666666668
197605,10.3333333333333,-0.277777777777779
197606,11.6666666666667,-1.61111111111111
197607,15.3888888888889,-0.72222222222222
197608,14.8333333333333,-1.38888888888889
197609,14.6111111111111,0.833333333333334
197610,9.5,0.166666666666666
197611,5.72222222222222,0.944444444444446
197612,3.5,1.05555555555555
197701,0.88888888888889,-0.611111111111112
197702,5.55555555555556,2.27777777777778
197703,3.94444444444445,-0.944444444444446
197704,8.55555555555556,1.05555555555556
197705,8.94444444444445,-1.66666666666667
197706,13.9444444444444,0.66666666666667
197707,14.9444444444444,-1.16666666666667
197708,18.2777777777778,2.05555555555556
197709,12.6666666666667,-1.11111111111111
197710,8.83333333333333,-0.5
197711,3.61111111111111,-1.16666666666667
197712,2.94444444444444,0.499999999999999
197801,3.5,2
197802,5.05555555555556,1.77777777777778
197803,6.5,1.61111111111111
197804,7.5,0
197805,9.66666666666667,-0.944444444444446
197806,15,1.72222222222222
197807,16.6666666666667,0.555555555555557
197808,16.1111111111111,-0.111111111111114
197809,12.8333333333333,-0.944444444444446
197810,10.2222222222222,0.888888888888889
197811,2.38888888888889,-2.38888888888889
197812,0.222222222222221,-2.22222222222222
197901,-1.38888888888889,-2.88888888888889
197902,2.33333333333333,-0.944444444444446
197903,6.33333333333333,1.44444444444445
197904,7.5,0
197905,11.2222222222222,0.611111111111112
197906,13.3888888888889,0.111111111111114
197907,16.7777777777778,0.666666666666668
197908,16.2777777777778,0.0555555555555571
197909,15.2222222222222,1.44444444444444
197910,10.5555555555556,1.22222222222222
197911,4.27777777777778,-0.499999999999999
197912,4.61111111111111,2.16666666666667
198001,-0.388888888888889,-1.88888888888889
198002,4.05555555555555,0.777777777777777
198003,4.55555555555556,-0.333333333333334
198004,8.83333333333333,1.33333333333333
198005,10.3333333333333,-0.277777777777779
198006,12.0555555555556,-1.22222222222222
198007,16.0555555555556,-0.0555555555555536
198008,15.1111111111111,-1.11111111111111
198009,13.7777777777778,0
198010,10.1666666666667,0.833333333333334
198011,6,1.22222222222222
198012,4.38888888888889,1.94444444444444
198101,4.77777777777778,3.27777777777778
198102,4.33333333333333,1.05555555555555
198103,6.66666666666667,1.77777777777778
198104,7.38888888888889,-0.111111111111112
198105,10.3333333333333,-0.277777777777779
198106,12.1666666666667,-1.11111111111111
198107,15.6111111111111,-0.499999999999998
198108,18.2777777777778,2.05555555555556
198109,14.2777777777778,0.5
198110,8.33333333333333,-0.999999999999998
198111,6.11111111111111,1.33333333333333
198112,3,0.555555555555556
198201,1.22222222222222,-0.277777777777778
198202,2.88888888888889,-0.388888888888891
198203,4.5,-0.38888888888889
198204,5.88888888888889,-1.61111111111111
198205,10.2222222222222,-0.388888888888891
198206,14.9444444444444,1.66666666666667
