"date","pc","pc_anom_1900-99"
195001,17.1958,14.6558
195002,17.9832,15.4432
195003,19.5834,17.0434
195004,8.255,5.715
195005,3.556,1.016
195006,2.54,0
195007,2.921,0.381
195008,4.4958,1.9558
195009,4.2418,1.7018
195010,18.8722,16.3322
195011,19.1008,16.5608
195012,18.3642,15.8242
195101,19.5072,16.9672
195102,19.4056,16.8656
195103,10.9474,8.4074
195104,2.1082,-0.4318
195105,5.4864,2.9464
195106,0.9652,-1.5748
195107,0.6096,-1.9304
195108,2.2606,-0.2794
195109,6.1214,3.5814
195110,15.4686,12.9286
195111,13.4112,10.8712
195112,13.3604,10.8204
195201,11.303,8.763
195202,8.3058,5.7658
195203,9.3472,6.8072
195204,5.4864,2.9464
195205,3.7084,1.1684
195206,4.6736,2.1336
195207,1.7526,-0.7874
195208,1.7018,-0.8382
195209,1.6002,-0.9398
195210,3.683,1.143
195211,3.4036,0.8636
195212,13.8938,11.3538
195301,31.7754,29.2354
195302,8.89,6.35
195303,9.4234,6.8834
195304,7.0612,4.5212
195305,6.6548,4.1148
195306,6.4262,3.8862
195307,1.7526,-0.7874
195308,3.683,1.143
195309,6.5024,3.9624
195310,12.3444,9.8044
195311,18.3642,15.8242
195312,19.0754,16.5354
195401,24.0284,21.4884
195402,14.478,11.938
195403,6.2992,3.7592
195404,8.5344,5.9944
195405,4.826,2.286
195406,7.5692,5.0292
195407,4.2418,1.7018
195408,6.2738,3.7338
195409,5.8674,3.3274
195410,5.5626,3.0226
195411,20.6248,18.0848
195412,14.5034,11.9634
195501,8.4328,5.8928
195502,11.7094,9.1694
195503,9.3726,6.8326
195504,10.3124,7.7724
195505,6.2992,3.7592
195506,5.6388,3.0988
195507,6.3754,3.8354
195508,0.4064,-2.1336
195509,3.8862,1.3462
195510,17.1196,14.5796
195511,22.4028,19.8628
195512,23.6982,21.1582
195601,21.9456,19.4056
195602,9.0678,6.5278
195603,15.0368,12.4968
195604,1.6764,-0.8636
195605,2.4384,-0.1016
195606,9.3472,6.8072
195607,0.9398,-1.6002
195608,2.9718,0.4318
195609,7.4676,4.9276
195610,18.796,16.256
195611,6.5024,3.9624
195612,17.1196,14.5796
195701,8.4328,5.8928
195702,14.0462,11.5062
195703,16.129,13.589
195704,6.8834,4.3434
195705,3.9878,1.4478
195706,4.7244,2.1844
195707,3.5052,0.9652
195708,3.3528,0.8128
195709,2.3368,-0.2032
195710,9.8552,7.3152
195711,9.1948,6.6548
195712,16.8148,14.2748
195801,18.7452,16.2052
195802,15.4686,12.9286
195803,5.6388,3.0988
195804,10.16,7.62
195805,3.7338,1.1938
195806,3.81,1.27
195807,0.0254,-2.5146
195808,1.397,-1.143
195809,4.7244,2.1844
195810,12.446,9.906
195811,22.1742,19.6342
195812,17.6784,15.1384
195901,22.098,19.558
195902,10.2362,7.6962
195903,11.8872,9.3472
195904,9.5504,7.0104
195905,6.604,4.064
195906,5.7404,3.2004
195907,1.778,-0.762
195908,2.7432,0.2032
195909,11.4554,8.9154
195910,10.033,7.493
195911,19.2024,16.6624
195912,16.3576,13.8176
196001,14.6558,12.1158
196002,11.5316,8.9916
196003,10.9474,8.4074
196004,9.4742,6.9342
196005,10.3378,7.7978
196006,2.794,0.254
196007,0.0254,-2.5146
196008,7.2136,4.6736
196009,3.556,1.016
196010,11.8618,9.3218
196011,22.1234,19.5834
196012,9.1186,6.5786
196101,17.9832,15.4432
196102,24.4094,21.8694
196103,13.7668,11.2268
196104,8.2804,5.7404
196105,8.4582,5.9182
196106,2.1844,-0.3556
196107,2.6162,0.0762
196108,2.7178,0.1778
196109,2.9464,0.4064
196110,11.4554,8.9154
196111,12.446,9.906
196112,16.7132,14.1732
196201,8.9662,6.4262
196202,6.0198,3.4798
196203,10.1854,7.6454
196204,7.8232,5.2832
196205,6.4516,3.9116
196206,3.5814,1.0414
196207,1.8288,-0.7112
196208,7.2136,4.6736
196209,6.6802,4.1402
196210,10.16,7.62
196211,23.2664,20.7264
196212,12.7762,10.2362
196301,5.842,3.302
196302,12.5222,9.9822
196303,8.8138,6.2738
196304,9.0678,6.5278
196305,3.5306,0.9906
196306,5.3594,2.8194
196307,4.826,2.286
196308,3.7084,1.1684
196309,3.8354,1.2954
196310,13.0302,10.4902
196311,21.5138,18.9738
196312,15.3924,12.8524
196401,24.6634,22.1234
196402,5.6642,3.1242
196403,12.065,9.525
196404,7.239,4.699
196405,4.7244,2.1844
196406,8.9662,6.4262
196407,3.7338,1.1938
196408,4.826,2.286
196409,8.001,5.461
196410,4.7244,2.1844
196411,18.796,16.256
196412,16.6624,14.1224
196501,20.4216,17.8816
196502,14.5542,12.0142
196503,2.1082,-0.4318
196504,9.0424,6.5024
196505,5.1054,2.5654
196506,1.2954,-1.2446
196507,1.8034,-0.7366
196508,6.477,3.937
196509,2.3368,-0.2032
196510,8.4074,5.8674
196511,13.8176,11.2776
196512,16.7386,14.1986
196601,15.5194,12.9794
196602,7.9502,5.4102
196603,13.4112,10.8712
196604,5.7912,3.2512
196605,5.4356,2.8956
196606,4.5466,2.0066
196607,5.6642,3.1242
196608,1.397,-1.143
196609,5.5118,2.9718
196610,10.4394,7.8994
196611,15.6718,13.1318
196612,22.6822,20.1422
196701,25.5016,22.9616
196702,9.8806,7.3406
196703,11.7856,9.2456
196704,7.3152,4.7752
196705,2.8702,0.3302
196706,3.81,1.27
196707,0.8636,-1.6764
196708,0.2032,-2.3368
196709,4.2926,1.7526
196710,21.4884,18.9484
196711,7.874,5.334
196712,17.653,15.113
196801,18.2372,15.6972
196802,13.5382,10.9982
196803,13.9446,11.4046
196804,6.6802,4.1402
196805,5.6134,3.0734
196806,7.6454,5.1054
196807,2.4384,-0.1016
196808,10.3378,7.7978
196809,7.1882,4.6482
196810,13.0302,10.4902
196811,15.3924,12.8524
196812,21.5392,18.9992
196901,16.8148,14.2748
196902,7.8994,5.3594
196903,6.4516,3.9116
196904,10.3886,7.8486
196905,5.8928,3.3528
196906,4.0386,1.4986
196907,1.8796,-0.6604
196908,1.4986,-1.0414
196909,14.0462,11.5062
196910,5.7404,3.2004
196911,8.6106,6.0706
196912,16.6624,14.1224
197001,20.2692,17.7292
197002,7.2644,4.7244
197003,7.239,4.699
197004,11.2014,8.6614
197005,3.9116,1.3716
197006,2.1336,-0.4064
197007,2.3114,-0.2286
197008,1.0414,-1.4986
