"date","mt","mt_anom_1900.99"
197001,5.72222222222222,0.416666666666667
197002,10.8333333333333,3.02777777777778
197003,11.0833333333333,0.88888888888889
197004,11.1666666666667,-2.5
197005,16.7222222222222,-0.361111111111109
197006,22.0277777777778,2.27777777777778
197007,23.4444444444444,0.38888888888889
197008,23.1666666666667,0.138888888888888
197009,17.9444444444444,-1.97222222222222
197010,13.6388888888889,-0.833333333333333
197011,9.33333333333335,0.388888888888889
197012,4.83333333333333,-1.25
197101,5.16666666666667,-0.138888888888889
197102,7.30555555555556,-0.500000000000002
197103,7.47222222222222,-2.72222222222222
197104,13.0277777777778,-0.638888888888888
197105,17.1666666666667,0.0833333333333337
197106,16.6111111111111,-3.13888888888888
197107,23.5555555555556,0.5
197108,24.9444444444444,1.91666666666666
197109,18.6111111111111,-1.30555555555555
197110,13,-1.47222222222222
197111,8.33333333333334,-0.611111111111111
197112,4.02777777777778,-2.05555555555555
197201,3.75,-1.55555555555555
197202,7.38888888888889,-0.416666666666667
197203,10.1666666666667,-0.0277777777777785
197204,10.8055555555555,-2.86111111111111
197205,18.5277777777778,1.44444444444445
197206,18.8888888888889,-0.861111111111107
197207,23.4166666666667,0.361111111111112
197208,24.2222222222222,1.19444444444444
197209,17.8055555555556,-2.11111111111111
197210,13.9166666666667,-0.555555555555556
197211,9.27777777777778,0.333333333333334
197212,4.11111111111111,-1.97222222222222
197301,5.38888888888889,0.0833333333333341
197302,9.27777777777778,1.47222222222222
197303,9.97222222222224,-0.222222222222221
197304,13.8611111111111,0.194444444444446
197305,17.9166666666667,0.833333333333333
197306,18.75,-1
197307,23.2777777777778,0.222222222222221
197308,20.9722222222222,-2.05555555555556
197309,20.5277777777778,0.611111111111107
197310,13.3888888888889,-1.08333333333333
197311,6.77777777777778,-2.16666666666667
197312,7.52777777777778,1.44444444444445
197401,5.05555555555556,-0.25
197402,7.13888888888889,-0.666666666666667
197403,9.52777777777778,-0.666666666666666
197404,12.0833333333333,-1.58333333333334
197405,14.3611111111111,-2.72222222222222
197406,20.2777777777778,0.527777777777776
197407,21.4444444444444,-1.61111111111111
197408,23.4166666666667,0.388888888888891
197409,23.6944444444444,3.77777777777778
197410,16.2222222222222,1.75
197411,9.41666666666666,0.472222222222222
197412,7.5,1.41666666666667
197501,5.38888888888889,0.0833333333333324
197502,6.69444444444444,-1.11111111111111
197503,8.77777777777778,-1.41666666666666
197504,11.1388888888889,-2.52777777777778
197505,16.75,-0.333333333333332
197506,18.3055555555556,-1.44444444444445
197507,23.0277777777778,-0.0277777777777802
197508,20.0277777777778,-3
197509,21.6111111111111,1.69444444444445
197510,12.7777777777778,-1.69444444444445
197511,8.47222222222222,-0.472222222222223
197512,6.77777777777778,0.694444444444445
197601,6.94444444444444,1.63888888888889
197602,7.05555555555556,-0.750000000000001
197603,8.08333333333334,-2.11111111111112
197604,13.1944444444444,-0.472222222222222
197605,16.8888888888889,-0.194444444444445
197606,18.0277777777778,-1.72222222222222
197607,21.9444444444444,-1.11111111111111
197608,19.6666666666667,-3.36111111111111
197609,20.3333333333333,0.416666666666666
197610,15.0555555555556,0.583333333333334
197611,10.3611111111111,1.41666666666666
197612,7.58333333333334,1.5
197701,5.08333333333333,-0.222222222222222
197702,10.8611111111111,3.05555555555555
197703,8.80555555555556,-1.38888888888889
197704,15.3888888888889,1.72222222222222
197705,14.7222222222222,-2.36111111111112
197706,20.5555555555556,0.805555555555557
197707,21.4444444444444,-1.61111111111111
197708,25.25,2.22222222222222
197709,17.9166666666667,-2
197710,14.2222222222222,-0.25
197711,7.77777777777778,-1.16666666666667
197712,6.36111111111111,0.277777777777777
197801,6.88888888888889,1.58333333333333
197802,9.16666666666666,1.36111111111111
197803,11.8333333333333,1.63888888888888
197804,13.0555555555556,-0.611111111111111
197805,15.9166666666667,-1.16666666666666
197806,22,2.25
197807,23.1944444444444,0.138888888888888
197808,22.0277777777778,-0.999999999999998
197809,17.2222222222222,-2.69444444444444
197810,16.0833333333333,1.61111111111111
197811,7,-1.94444444444445
197812,4.13888888888889,-1.94444444444444
197901,3.05555555555555,-2.25
197902,6.44444444444444,-1.36111111111111
197903,12.6666666666667,2.47222222222222
197904,13.0555555555556,-0.611111111111111
197905,17.75,0.666666666666664
197906,20.5,0.750000000000002
197907,23.9722222222222,0.91666666666667
197908,22.5833333333333,-0.444444444444443
197909,21.2222222222222,1.30555555555556
197910,15.6111111111111,1.13888888888889
197911,9,0.0555555555555545
197912,8.22222222222222,2.13888888888889
198001,3.77777777777778,-1.52777777777778
198002,8.38888888888889,0.583333333333333
198003,9.11111111111111,-1.08333333333333
198004,15.4166666666667,1.75
198005,16.25,-0.833333333333335
198006,17.3611111111111,-2.38888888888888
198007,22.3055555555556,-0.749999999999998
198008,21.1666666666667,-1.86111111111111
198009,19.3055555555556,-0.611111111111114
198010,16.3611111111111,1.88888888888888
198011,9.8611111111111,0.916666666666667
198012,7.88888888888889,1.80555555555555
198101,8.94444444444444,3.63888888888889
198102,9.02777777777778,1.22222222222222
198103,12.7777777777778,2.58333333333333
198104,13,-0.666666666666666
198105,16,-1.08333333333334
198106,17.5833333333333,-2.16666666666667
198107,21.6111111111111,-1.44444444444445
198108,25.5833333333333,2.55555555555555
198109,20.5,0.583333333333336
198110,13.4166666666667,-1.05555555555555
198111,10.6666666666667,1.72222222222222
198112,6.47222222222222,0.388888888888889
198201,4.66666666666667,-0.63888888888889
198202,7.27777777777778,-0.527777777777777
198203,10.1111111111111,-0.0833333333333337
198204,12.4166666666667,-1.25
