"date","hd","hd_anom_1900-99"
195001,1336,1
195002,826,825
195003,828,827
195004,657,656
195005,524,523
195006,249,248
195007,151,150
195008,117,116
195009,253,252
195010,570,569
195011,753,752
195012,728,727
195101,967,966
195102,778,777
195103,899,898
195104,534,533
195105,428,427
195106,221,220
195107,122,121
195108,163,162
195109,213,212
195110,521,520
195111,741,740
195112,986,985
195201,1023,1
195202,778,777
195203,812,811
195204,564,563
195205,428,427
195206,342,341
195207,129,128
195208,129,128
195209,194,193
195210,391,390
195211,813,812
195212,859,858
195301,750,749
195302,736,735
195303,766,765
195304,615,614
195305,456,455
195306,363,362
195307,149,148
195308,133,132
195309,224,223
195310,459,458
195311,642,641
195312,806,805
195401,1014,1
195402,731,730
195403,840,839
195404,663,662
195405,431,430
195406,375,374
195407,237,236
195408,219,218
195409,267,266
195410,530,529
195411,600,599
195412,868,867
195501,924,923
195502,832,831
195503,930,929
195504,723,722
195505,552,551
195506,300,299
195507,242,241
195508,188,187
195509,285,284
195510,530,529
195511,897,896
195512,946,945
195601,939,938
195602,924,923
195603,852,851
195604,537,536
195605,335,334
195606,339,338
195607,112,111
195608,141,140
195609,267,266
195610,570,569
195611,783,782
195612,877,876
195701,1147,1
195702,823,822
195703,756,755
195704,549,548
195705,332,331
195706,249,248
195707,199,198
195708,191,190
195709,144,143
195710,521,520
195711,762,761
195712,806,805
195801,803,802
195802,591,590
195803,766,765
195804,582,581
195805,262,261
195806,141,140
195807,42,41
195808,79,78
195809,250,249
195810,446,445
195811,765,764
195812,753,752
195901,896,895
195902,781,780
195903,772,771
195904,573,572
195905,477,476
195906,270,269
195907,110,109
195908,182,181
195909,309,308
195910,499,498
195911,762,761
195912,877,876
196001,976,975
196002,762,761
196003,772,771
196004,582,581
196005,502,501
196006,279,278
196007,100,99
196008,180,179
196009,276,275
196010,477,476
196011,756,755
196012,896,895
196101,791,790
196102,678,677
196103,728,727
196104,627,626
196105,440,439
196106,179,178
196107,94,93
196108,70,69
196109,306,305
196110,561,560
196111,825,824
196112,905,904
196201,952,951
196202,725,724
196203,825,824
196204,540,539
196205,546,545
196206,303,302
196207,172,171
196208,171,170
196209,230,229
196210,477,476
196211,669,668
196212,812,811
196301,1066,1
196302,594,593
196303,772,771
196304,621,620
196305,412,411
196306,312,311
196307,211,210
196308,138,137
196309,151,150
196310,446,445
196311,708,707
196312,840,839
196401,862,861
196402,764,763
196403,797,796
196404,672,671
196405,518,517
196406,327,326
196407,177,176
196408,202,201
196409,306,305
196410,474,473
196411,807,806
196412,998,997
196501,908,907
196502,745,744
196503,741,740
196504,564,563
196505,524,523
196506,288,287
196507,106,105
196508,113,112
196509,309,308
196510,409,408
196511,627,626
196512,902,901
196601,902,901
196602,756,755
196603,763,762
196604,567,566
196605,440,439
196606,306,305
196607,188,187
196608,146,145
196609,200,199
196610,521,520
196611,687,686
196612,775,774
196701,828,827
196702,722,721
196703,834,833
196704,693,692
196705,443,442
196706,179,178
196707,127,126
196708,47,46
196709,142,141
196710,474,473
196711,687,686
196712,899,898
196801,905,904
196802,636,635
196803,673,672
196804,645,644
196805,431,430
196806,285,284
196807,106,105
196808,182,181
196809,258,257
196810,549,548
196811,699,698
196812,992,991
196901,1150,1
196902,818,817
196903,735,734
196904,609,608
196905,353,352
196906,154,153
196907,169,168
196908,205,204
196909,250,249
196910,546,545
196911,681,680
196912,809,808
197001,902,901
197002,647,646
197003,741,740
197004,690,689
197005,465,464
197006,201,200
197007,136,135
197008,143,142
197009,333,332
197010,561,560
197011,720,719
197012,942,941
197101,930,929
197102,762,761
197103,874,873
197104,630,629
197105,434,433
197106,387,386
197107,127,126
197108,81,80
197109,315,314
197110,570,569
197111,732,731
197112,970,969
197201,1020,1
197202,781,780
197203,722,721
197204,711,710
197205,375,374
197206,288,287
197207,127,126
197208,103,102
197209,342,341
197210,570,569
197211,711,710
197212,1001,1
197301,955,954
197302,720,719
197303,747,746
197304,594,593
197305,406,405
197306,297,296
197307,139,138
197308,222,221
197309,230,229
197310,530,529
197311,819,818
197312,791,790
197401,980,979
197402,759,758
197403,772,771
197404,609,608
197405,536,535
197406,261,260
197407,183,182
197408,117,116
197409,144,143
197410,480,479
197411,687,686
197412,809,808
197501,914,913
197502,801,800
197503,828,827
197504,714,713
197505,456,455
197506,321,320
197507,122,121
197508,213,212
197509,205,204
197510,536,535
197511,756,755
197512,852,851
197601,846,845
197602,787,786
197603,849,848
197604,621,620
197605,446,445
197606,360,359
197607,175,174
197608,202,201
197609,208,207
197610,493,492
197611,681,680
197612,828,827
197701,973,972
197702,644,643
197703,803,802
197704,528,527
197705,524,523
197706,240,239
197707,196,195
197708,64,63
197709,306,305
197710,530,529
197711,795,794
197712,859,858
197801,828,827
197802,669,668
197803,660,659
197804,585,584
197805,484,483
197806,188,187
197807,118,117
197808,141,140
197809,297,296
197810,453,452
197811,861,860
197812,1011,1
197901,1100,1
197902,806,805
197903,670,669
197904,585,584
197905,397,396
197906,267,266
197907,114,113
197908,133,132
197909,179,178
197910,434,433
197911,759,758
197912,766,765
198001,1045,1
198002,720,719
198003,769,768
198004,513,512
198005,446,445
198006,339,338
198007,144,143
198008,188,187
198009,250,249
198010,456,455
198011,666,665
198012,778,777
198101,756,755
198102,706,705
198103,651,650
198104,591,590
198105,446,445
198106,333,332
198107,164,163
198108,64,63
198109,224,223
198110,558,557
198111,660,659
198112,856,855
198201,955,954
198202,778,777
198203,772,771
198204,672,671
198205,453,452
198206,190,189
198207,177,176
198208,136,135
198209,224,223
198210,493,492
198211,807,806
198212,884,883
198301,772,771
198302,647,646
198303,642,641
198304,555,554
198305,347,346
198306,294,293
198307,188,187
198308,117,116
198309,315,314
198310,536,535
198311,672,671
198312,1057,1
198401,828,827
198402,692,691
198403,651,650
198404,630,629
198405,515,514
198406,318,317
198407,139,138
198408,133,132
198409,276,275
198410,586,585
198411,756,755
198412,1008,1
198501,976,975
198502,843,842
198503,803,802
198504,570,569
198505,425,424
198506,264,263
198507,57,56
198508,133,132
198509,318,317
198510,555,554
198511,1011,1
198512,998,997
198601,766,765
198602,748,747
198603,614,613
198604,630,629
198605,428,427
198606,190,189
198607,219,218
198608,59,58
198609,291,290
198610,428,427
198611,708,707
198612,856,855
198701,890,889
198702,658,657
198703,673,672
198704,492,491
198705,369,368
198706,209,208
198707,151,150
198708,109,108
198709,176,175
198710,400,399
198711,627,626
198712,927,926
198801,905,904
198802,697,696
198803,735,734
198804,552,551
198805,437,436
198806,294,293
198807,141,140
198808,133,132
198809,239,238
198810,381,380
198811,711,710
198812,843,842
198901,877,876
198902,944,943
198903,797,796
198904,486,485
198905,431,430
198906,204,203
198907,183,182
198908,156,155
198909,181,180
198910,499,498
198911,666,665
198912,800,799
199001,828,827
199002,826,825
199003,679,678
199004,495,494
199005,450,449
199006,267,266
199007,74,73
199008,81,80
199009,153,152
199010,574,573
199011,690,689
199012,1073,1
199101,930,929
199102,591,590
199103,791,790
199104,603,602
199105,487,486
199106,342,341
199107,112,111
199108,97,96
199109,173,172
199110,496,495
199111,681,680
199112,803,802
199201,781,780
199202,594,593
199203,561,560
199204,489,488
199205,304,303
199206,156,155
199207,104,103
199208,91,90
199209,276,275
199210,456,455
199211,720,719
199212,952,951
199301,1029,1
199302,795,794
199303,679,678
199304,573,572
199305,289,288
199306,276,275
199307,231,230
199308,124,123
199309,197,196
199310,409,408
199311,840,839
199312,859,858
199401,747,746
199402,812,811
199403,648,647
199404,507,506
199405,366,365
199406,291,290
199407,92,91
199408,113,112
199409,156,155
199410,536,535
199411,852,851
199412,884,883
199501,809,808
199502,669,668
199503,707,706
199504,576,575
199505,332,331
199506,235,234
199507,102,101
199508,196,195
199509,139,138
199510,527,526
199511,612,611
199512,840,839
199601,896,895
199602,745,744
199603,701,700
199604,534,533
199605,518,517
199606,279,278
199607,80,79
199608,99,98
199609,303,302
199610,533,532
199611,756,755
199612,918,917
199701,874,873
199702,731,730
199703,753,752
199704,597,596
199705,322,321
199706,282,281
199707,139,138
199708,68,67
199709,176,175
199710,527,526
199711,621,620
199712,843,842
199801,843,842
199802,664,663
199803,682,681
199804,555,554
199805,422,421
199806,238,237
199807,64,63
199808,81,80
199809,149,148
199810,490,489
199811,675,674
199812,914,913
199901,834,833
199902,759,758
199903,775,774
199904,609,608
199905,524,523
199906,324,323
199907,172,171
199908,105,104
199909,224,223
199910,505,504
199911,636,635
199912,806,805
200001,914,913
200002,711,710
200003,756,755
200004,510,509
200005,443,442
200006,238,237
200007,144,143
200008,151,150
200009,241,240
200010,502,501
200011,798,797
200012,874,873
200101,834,833
200102,776,775
200103,710,709
200104,624,623
200105,397,396
200106,327,326
200107,175,174
200108,109,108
200109,219,218
200110,552,551
200111,666,665
200112,884,883
200201,874,873
200202,748,747
200203,843,842
200204,594,593
200205,490,489
200206,223,222
200207,110,109
200208,120,119
200209,233,232
200210,524,523
200211,633,632
200212,806,805
200301,722,721
200302,731,730
200303,701,700
200304,600,599
200305,434,433
200306,185,184
200307,80,79
200308,93,92
200309,171,170
200310,412,411
200311,810,809
200312,856,855
200401,890,889
200402,694,693
200403,642,641
200404,465,464
200405,378,377
200406,185,184
200407,69,68
200408,66,65
200409,276,275
200410,462,461
200411,705,704
200412,797,796
200501,825,824
200502,708,707
200503,620,619
200504,543,542
200505,326,325
200506,285,284
200507,116,115
200508,86,85
200509,288,287
200510,465,464
200511,759,758
200512,862,861
200601,772,771
200602,781,780
200603,750,749
200604,555,554
200605,391,390
200606,201,200
200607,91,90
200608,124,123
200609,197,196
200610,512,511
200611,747,746
200612,865,864
200701,933,932
200702,697,696
200703,670,669
200704,582,581
200705,409,408
200706,288,287
200707,89,88
200708,141,140
200709,273,272
200710,558,557
200711,744,743
200712,908,907
200801,964,963
200802,717,716
200803,812,811
200804,699,698
200805,412,411
200806,336,335
200807,141,140
200808,115,114
200809,224,223
200810,527,526
200811,615,614
200812,986,985
200901,890,889
200902,764,763
200903,846,845
200904,603,602
200905,412,411
200906,201,200
200907,57,56
200908,109,108
200909,189,188
200910,546,545
200911,702,701
200912,992,991
201001,719,718
201002,641,640
201003,685,684
201004,603,602
201005,505,504
201006,324,323
201007,134,133
201008,124,123
201009,239,238
201010,477,476
201011,777,776
201012,843,842
201101,856,855
201102,832,831
201103,769,768
201104,720,719
201105,533,532
201106,321,320
201107,202,201
201108,120,119
201109,153,152
201110,505,504
201111,789,788
201112,896,895
201201,896,895
201202,736,735
201203,815,814
201204,558,557
201205,453,452
201206,351,350
201207,141,140
201208,84,83
201209,186,185
201210,487,486
201211,678,677
201212,884,883
201301,933,932
201302,734,733
201303,713,712
201304,591,590
201305,378,377
201306,221,220
201307,96,95
201308,83,82
201309,192,191
201310,527,526
201311,717,716
201312,967,966
201401,794,793
201402,829,828
201403,691,690
201404,549,548
201405,338,337
201406,255,254
201407,67,66
201408,59,58
201409,161,160
201410,360,359
201411,720,719
201412,797,796
201501,732,731
201502,571,570
201503,570,569
201504,564,563
201505,322,321
201506,104,103
201507,52,51
201508,73,72
201509,276,275
201510,363,362
201511,768,767
201512,856,855
201601,831,830
201602,616,615
201603,660,659
201604,405,404
201605,322,321
201606,212,211
201607,136,135
201608,79,78
201609,267,266
201610,490,489
