"date","hd","hd_anom_1900.99"
197001,476.944444444444,-17.7777777777778
197002,340.833333333333,-58.0555555555556
197003,385,-4.99999999999997
197004,351.666666666667,52.5
197005,235.833333333333,20.8333333333333
197006,94.4444444444446,-36.6666666666667
197007,64.7222222222223,-3.61111111111111
197008,71.3888888888889,4.44444444444444
197009,170.833333333333,44.4444444444444
197010,295.277777777778,35.5555555555556
197011,379.166666666667,-2.22222222222222
197012,498.333333333333,32.7777777777778
197101,490.833333333333,-3.88888888888885
197102,402.222222222222,3.33333333333334
197103,456.388888888889,66.3888888888889
197104,322.5,23.3333333333333
197105,217.777777777777,2.77777777777778
197106,190,58.8888888888889
197107,59.7222222222222,-8.61111111111111
197108,37.2222222222222,-29.7222222222222
197109,159.166666666667,32.7777777777778
197110,297.777777777778,38.0555555555556
197111,380,-1.38888888888888
197112,520,54.4444444444444
197201,546.111111111112,51.3888888888889
197202,412.222222222223,13.3333333333333
197203,373.611111111111,-16.3888888888889
197204,365.833333333333,66.6666666666667
197205,184.166666666667,-30.8333333333333
197206,140.277777777778,9.16666666666666
197207,61.1111111111111,-7.22222222222222
197208,50,-16.9444444444444
197209,176.666666666667,50.2777777777778
197210,302.222222222223,42.5
197211,372.5,-8.88888888888889
197212,526.944444444444,61.3888888888889
197301,503.888888888889,9.16666666666666
197302,378.055555555555,-20.8333333333333
197303,387.5,-2.5
197304,307.5,8.33333333333332
197305,203.333333333333,-11.6666666666666
197306,144.166666666667,13.0555555555556
197307,67.2222222222222,-1.11111111111111
197308,109.444444444444,42.5
197309,114.166666666667,-12.2222222222222
197310,274.722222222222,15
197311,430.833333333333,49.4444444444444
197312,415.277777777777,-50.2777777777778
197401,514.166666666667,19.4444444444444
197402,395.833333333333,-3.05555555555557
197403,400.555555555556,10.5555555555556
197404,312.5,13.3333333333333
197405,269.444444444445,54.4444444444444
197406,127.222222222222,-3.88888888888888
197407,88.3333333333335,20
197408,55.5555555555556,-11.3888888888889
197409,69.7222222222222,-56.6666666666667
197410,250.555555555556,-9.16666666666666
197411,359.166666666667,-22.2222222222222
197412,423.611111111111,-41.9444444444444
197501,484.722222222223,-9.99999999999999
197502,423.055555555555,24.1666666666667
197503,431.388888888889,41.3888888888889
197504,368.333333333333,69.1666666666667
197505,230,15
197506,156.388888888889,25.2777777777778
197507,57.2222222222222,-11.1111111111111
197508,103.055555555555,36.1111111111111
197509,105.555555555556,-20.8333333333333
197510,277.222222222223,17.5
197511,394.166666666667,12.7777777777778
197512,450.277777777777,-15.2777777777778
197601,445,-49.7222222222222
197602,413.888888888889,15
197603,446.944444444445,56.9444444444445
197604,315.833333333333,16.6666666666667
197605,223.888888888889,8.8888888888889
197606,176.666666666667,45.5555555555556
197607,80.8333333333333,12.5
197608,98.611111111111,31.6666666666667
197609,104.166666666667,-22.2222222222222
197610,257.5,-2.22222222222223
197611,360.833333333333,-20.5555555555556
197612,430.555555555555,-35
197701,518.333333333333,23.6111111111111
197702,333.611111111111,-65.2777777777778
197703,415,25
197704,269.166666666667,-30
197705,260.833333333333,45.8333333333333
197706,113.611111111111,-17.5
197707,93.3333333333334,25
197708,29.4444444444444,-37.5
197709,155.833333333333,29.4444444444444
197710,278.888888888888,19.1666666666667
197711,417.5,36.1111111111111
197712,459.166666666667,-6.38888888888891
197801,437.5,-57.2222222222222
197802,350.833333333333,-48.0555555555556
197803,343.611111111112,-46.3888888888889
197804,299.166666666667,0
197805,240.277777777778,25.2777777777778
197806,83.6111111111109,-47.5
197807,54.7222222222222,-13.6111111111111
197808,66.1111111111111,-0.833333333333331
197809,150,23.6111111111111
197810,236.944444444445,-22.7777777777778
197811,454.166666666667,72.7777777777777
197812,534.722222222223,69.1666666666667
197901,583.611111111111,88.8888888888889
197902,422.222222222223,23.3333333333333
197903,344.444444444445,-45.5555555555556
197904,300.833333333333,1.66666666666666
197905,195.555555555556,-19.4444444444444
197906,128.055555555555,-3.05555555555555
197907,51.6666666666667,-16.6666666666667
197908,61.6666666666667,-5.27777777777778
197909,86.3888888888889,-40
197910,225.555555555555,-34.1666666666667
197911,401.666666666667,20.2777777777778
197912,402.222222222223,-63.3333333333333
198001,558.888888888889,64.1666666666667
198002,375.833333333333,-23.0555555555556
198003,398.611111111111,8.61111111111111
198004,259.166666666667,-40
198005,221.111111111111,6.11111111111113
198006,162.5,31.3888888888889
198007,70,1.66666666666667
198008,89.722222222222,22.7777777777778
198009,124.166666666667,-2.22222222222224
198010,234.444444444445,-25.2777777777778
198011,346.666666666667,-34.7222222222222
198012,406.388888888889,-59.1666666666667
198101,400.277777777778,-94.4444444444444
198102,370.277777777777,-28.6111111111111
198103,334.166666666667,-55.8333333333333
198104,301.666666666667,2.5
198105,221.111111111111,6.11111111111113
198106,161.666666666667,30.5555555555556
198107,76.6666666666667,8.33333333333336
198108,28.8888888888889,-38.0555555555556
198109,110.277777777778,-16.1111111111111
198110,291.111111111111,31.3888888888889
198111,343.333333333333,-38.0555555555556
198112,453.055555555556,-12.5
198201,501.944444444444,7.22222222222223
198202,406.666666666667,7.77777777777777
198203,403.888888888889,13.8888888888889
198204,345,45.8333333333333
198205,226.666666666667,11.6666666666667
198206,86.1111111111113,-45
198207,83.3333333333333,15
198208,64.1666666666667,-2.77777777777778
198209,110.277777777778,-16.1111111111111
198210,255.833333333334,-3.88888888888888
198211,427.5,46.1111111111111
198212,467.777777777777,2.22222222222223
198301,403.888888888889,-90.8333333333333
198302,336.111111111111,-62.7777777777778
198303,330,-60
198304,286.666666666667,-12.5
198305,170.555555555555,-44.4444444444444
