"date","hd","hd_anom_1900-99"
197001,452.777777777778,-15.5555555555556
197002,322.222222222222,-53.3333333333334
197003,358.333333333333,-4.4444444444444
197004,320,46.1111111111111
197005,213.333333333333,23.3333333333333
197006,77.2222222222222,-32.2222222222222
197007,53.8888888888889,-2.22222222222222
197008,63.3333333333333,7.22222222222222
197009,156.666666666667,43.3333333333333
197010,278.888888888889,38.3333333333333
197011,358.333333333333,1.66666666666669
197012,473.333333333333,33.8888888888889
197101,465,-3.33333333333337
197102,381.111111111111,5.55555555555554
197103,427.222222222222,64.4444444444445
197104,295,21.1111111111111
197105,194.444444444444,4.44444444444446
197106,165,55.5555555555556
197107,48.8888888888889,-7.22222222222222
197108,29.4444444444444,-26.6666666666667
197109,143.333333333333,30
197110,278.888888888889,38.3333333333333
197111,353.333333333333,-3.33333333333331
197112,501.111111111111,61.6666666666667
197201,525.555555555556,57.2222222222222
197202,390.555555555556,15
197203,346.111111111111,-16.6666666666666
197204,336.666666666667,62.7777777777778
197205,160,-30
197206,120.555555555556,11.1111111111111
197207,51.6666666666667,-4.44444444444444
197208,42.7777777777778,-13.3333333333333
197209,163.333333333333,50
197210,287.777777777778,47.2222222222222
197211,350,-6.66666666666669
197212,497.777777777778,58.3333333333334
197301,477.222222222222,8.88888888888886
197302,356.111111111111,-19.4444444444445
197303,360,-2.77777777777777
197304,285,11.1111111111111
197305,181.111111111111,-8.88888888888889
197306,123.333333333333,13.8888888888889
197307,57.2222222222222,1.11111111111111
197308,95.5555555555556,39.4444444444444
197309,100.555555555556,-12.7777777777778
197310,255,14.4444444444444
197311,406.666666666667,50
197312,391.111111111111,-48.3333333333333
197401,483.888888888889,15.5555555555555
197402,370,-5.5555555555556
197403,372.222222222222,9.44444444444446
197404,286.666666666667,12.7777777777778
197405,241.111111111111,51.1111111111111
197406,109.444444444444,0
197407,75,18.8888888888889
197408,46.1111111111111,-10
197409,59.4444444444444,-53.8888888888889
197410,234.444444444444,-6.11111111111111
197411,336.666666666667,-20
197412,397.777777777778,-41.6666666666667
197501,461.666666666667,-6.66666666666669
197502,401.111111111111,25.5555555555555
197503,402.777777777778,40
197504,340,66.1111111111111
197505,206.666666666667,16.6666666666667
197506,134.444444444444,25
197507,46.6666666666667,-9.44444444444444
197508,87.7777777777778,31.6666666666667
197509,97.2222222222222,-16.1111111111111
197510,256.666666666667,16.1111111111111
197511,368.333333333333,11.6666666666667
197512,427.222222222222,-12.2222222222222
197601,420,-48.3333333333334
197602,390.555555555556,15
197603,422.222222222222,59.4444444444445
197604,286.666666666667,12.7777777777778
197605,200,10
197606,153.333333333333,43.8888888888889
197607,64.4444444444444,8.33333333333333
197608,85,28.8888888888889
197609,92.7777777777778,-20.5555555555556
197610,241.111111111111,0.555555555555543
197611,343.333333333333,-13.3333333333333
197612,401.111111111111,-38.3333333333333
197701,496.111111111111,27.7777777777778
197702,309.444444444444,-66.1111111111111
197703,383.888888888889,21.1111111111111
197704,245,-28.8888888888889
197705,230.555555555556,40.5555555555556
197706,93.8888888888889,-15.5555555555555
197707,77.7777777777778,21.6666666666667
197708,23.3333333333333,-32.7777777777778
197709,141.666666666667,28.3333333333333
197710,263.333333333333,22.7777777777778
197711,393.333333333333,36.6666666666667
197712,441.111111111111,1.66666666666669
197801,415,-53.3333333333334
197802,330,-45.5555555555556
197803,320.555555555556,-42.2222222222222
197804,273.333333333333,-0.555555555555543
197805,211.666666666667,21.6666666666667
197806,62.7777777777778,-46.6666666666667
197807,43.8888888888889,-12.2222222222222
197808,53.8888888888889,-2.22222222222222
197809,135,21.6666666666667
197810,222.222222222222,-18.3333333333333
197811,430,73.3333333333333
197812,507.777777777778,68.3333333333334
197901,556.111111111111,87.7777777777777
197902,396.666666666667,21.1111111111111
197903,316.666666666667,-46.1111111111111
197904,276.666666666667,2.77777777777777
197905,170.555555555556,-19.4444444444444
197906,107.777777777778,-1.66666666666666
197907,40,-16.1111111111111
197908,49.4444444444444,-6.66666666666666
197909,73.3333333333333,-40
197910,210,-30.5555555555556
197911,381.666666666667,25
197912,378.888888888889,-60.5555555555555
198001,537.222222222222,68.8888888888889
198002,351.666666666667,-23.8888888888889
198003,370,7.22222222222223
198004,233.333333333333,-40.5555555555556
198005,194.444444444444,4.44444444444446
198006,136.666666666667,27.2222222222222
198007,60,3.88888888888889
198008,75,18.8888888888889
198009,109.444444444444,-3.8888888888889
198010,215.555555555556,-25
198011,323.333333333333,-33.3333333333333
198012,380.555555555556,-58.8888888888889
198101,380.555555555556,-87.7777777777778
198102,348.333333333333,-27.2222222222222
198103,306.666666666667,-56.1111111111111
198104,275,1.11111111111109
198105,194.444444444444,4.44444444444446
198106,138.333333333333,28.8888888888889
198107,62.2222222222222,6.11111111111111
198108,22.2222222222222,-33.8888888888889
198109,96.1111111111111,-17.2222222222222
198110,272.222222222222,31.6666666666667
198111,320,-36.6666666666667
198112,430.555555555556,-8.88888888888886
198201,473.333333333333,5
198202,381.111111111111,5.55555555555554
198203,378.888888888889,16.1111111111111
198204,316.666666666667,42.7777777777778
198205,201.666666666667,11.6666666666667
198206,66.6666666666667,-42.7777777777778
198207,68.3333333333333,12.2222222222222
198208,52.7777777777778,-3.33333333333334
198209,96.1111111111111,-17.2222222222222
198210,237.777777777778,-2.77777777777777
198211,406.666666666667,50
198212,444.444444444444,5
198301,378.888888888889,-89.4444444444445
198302,312.777777777778,-62.7777777777778
198303,303.333333333333,-59.4444444444444
198304,265,-8.88888888888891
198305,148.333333333333,-41.6666666666667
198306,112.222222222222,2.77777777777779
