"date","at","at_anom_1900.99"
195205,11.3888888888889,28.6111111111111
195206,12.6944444444444,29.9166666666667
195207,16.75,33.9722222222222
195208,16.7777777777778,34
195209,15.1388888888889,32.3611111111111
195210,11.6388888888889,28.8611111111111
195211,4.08333333333333,21.3055555555556
195212,3.94444444444444,21.1666666666667
195301,5.66666666666667,22.8888888888889
195302,4.44444444444444,21.6666666666667
195303,5.5,22.7222222222222
195304,7.83333333333333,25.0555555555556
195305,11.1111111111111,28.3333333333333
195306,12.5,29.7222222222222
195307,16.4444444444444,33.6666666666667
195308,16.7777777777778,34
195309,14.6944444444444,31.9166666666667
195310,10.75,27.9722222222222
195311,7.25000000000001,24.4722222222222
195312,4.63888888888889,21.8611111111111
195401,0.861111111111107,18.0833333333333
195402,4.72222222222222,21.9444444444444
195403,4.16666666666667,21.3888888888889
195404,6.88888888888889,24.1111111111111
195405,11.3055555555556,28.5277777777778
195406,12.2222222222222,29.4444444444444
195407,14.7222222222222,31.9444444444444
195408,15,32.2222222222222
195409,14,31.2222222222222
195410,9.44444444444446,26.6666666666667
195411,8.02777777777778,25.25
195412,3.66666666666667,20.8888888888889
195501,2.66666666666667,19.8888888888889
195502,2.58333333333333,19.8055555555556
195503,2.61111111111111,19.8333333333333
195504,5.88888888888889,23.1111111111111
195505,9.30555555555557,26.5277777777778
195506,13.4166666666667,30.6388888888889
195507,14.6666666666667,31.8888888888889
195508,15.4166666666667,32.6388888888889
195509,13.4444444444444,30.6666666666667
195510,9.41666666666666,26.6388888888889
195511,2.47222222222222,19.6944444444444
195512,2.16666666666667,19.3888888888889
195601,2.27777777777778,19.5
195602,0.833333333333335,18.0555555555556
195603,3.94444444444445,21.1666666666667
195604,8.97222222222222,26.1944444444444
195605,12.9444444444444,30.1666666666667
195606,12.8611111111111,30.0833333333333
195607,17.3055555555556,34.5277777777778
195608,16.5555555555556,33.7777777777778
195609,13.8333333333333,31.0555555555556
195610,8.83333333333334,26.0555555555556
195611,4.58333333333333,21.8055555555556
195612,3.44444444444445,20.6666666666667
195701,-1.38888888888889,15.8333333333333
