"date","mt","mt_anom_1900-99"
197001,6.61111111111111,0.38888888888889
197002,11.5,2.77777777777778
197003,11.8888888888889,0.833333333333334
197004,12.2222222222222,-2.22222222222222
197005,17.2777777777778,-0.555555555555554
197006,22.5555555555556,2.11111111111111
197007,23.7222222222222,0.277777777777779
197008,23.2777777777778,-0.111111111111114
197009,18.3888888888889,-1.94444444444445
197010,14.1666666666667,-0.944444444444445
197011,10.1666666666667,0.333333333333334
197012,5.72222222222222,-1.27777777777778
197101,6.05555555555556,-0.166666666666665
197102,8.05555555555556,-0.66666666666667
197103,8.44444444444445,-2.61111111111111
197104,13.8888888888889,-0.555555555555555
197105,17.7777777777778,-0.0555555555555536
197106,17.3888888888889,-3.05555555555555
197107,24,0.555555555555557
197108,25.2777777777778,1.88888888888889
197109,19.1111111111111,-1.22222222222222
197110,13.6111111111111,-1.5
197111,9.27777777777778,-0.555555555555555
197112,4.77777777777778,-2.22222222222222
197201,4.5,-1.72222222222222
197202,8.27777777777778,-0.444444444444443
197203,11,-0.0555555555555571
197204,11.7222222222222,-2.72222222222222
197205,19.1666666666667,1.33333333333334
197206,19.4444444444444,-0.999999999999996
197207,23.6666666666667,0.222222222222225
197208,24.3888888888889,0.999999999999996
197209,18.2222222222222,-2.11111111111111
197210,14.2777777777778,-0.833333333333332
197211,10.1111111111111,0.277777777777777
197212,5,-2
197301,6.33333333333333,0.111111111111112
197302,10,1.27777777777778
197303,10.7777777777778,-0.277777777777779
197304,14.5,0.0555555555555571
197305,18.5555555555556,0.722222222222221
197306,19.3888888888889,-1.05555555555556
197307,23.5555555555556,0.111111111111114
197308,21.3333333333333,-2.05555555555556
197309,20.9444444444444,0.611111111111107
197310,14.0555555555556,-1.05555555555555
197311,7.77777777777778,-2.05555555555556
197312,8.38888888888889,1.38888888888889
197401,6.05555555555556,-0.166666666666665
197402,8.11111111111111,-0.611111111111112
197403,10.5,-0.555555555555555
197404,12.9444444444444,-1.5
197405,15.2777777777778,-2.55555555555555
197406,20.7777777777778,0.333333333333332
197407,21.8333333333333,-1.61111111111111
197408,23.7777777777778,0.388888888888893
197409,24,3.66666666666666
197410,16.6111111111111,1.5
197411,10.2222222222222,0.388888888888889
197412,8.44444444444445,1.44444444444445
197501,6.16666666666667,-0.0555555555555562
197502,7.61111111111111,-1.11111111111111
197503,9.72222222222222,-1.33333333333333
197504,12,-2.44444444444444
197505,17.3888888888889,-0.444444444444443
197506,19.0555555555556,-1.38888888888889
197507,23.5,0.0555555555555536
197508,20.5555555555556,-2.83333333333333
197509,21.7777777777778,1.44444444444444
197510,13.6111111111111,-1.5
197511,9.44444444444444,-0.388888888888891
197512,7.61111111111111,0.611111111111112
197601,7.77777777777778,1.55555555555555
197602,7.88888888888889,-0.833333333333334
197603,8.88888888888889,-2.16666666666667
197604,14.1666666666667,-0.277777777777777
197605,17.4444444444444,-0.388888888888889
197606,18.7777777777778,-1.66666666666666
197607,22.4444444444444,-0.999999999999996
197608,20.1666666666667,-3.22222222222222
197609,20.7222222222222,0.388888888888889
197610,15.5,0.388888888888891
197611,10.8888888888889,1.05555555555555
197612,8.55555555555556,1.55555555555555
197701,5.66666666666667,-0.555555555555555
197702,11.7222222222222,3
197703,9.83333333333334,-1.22222222222222
197704,16,1.55555555555556
197705,15.6666666666667,-2.16666666666667
197706,21.1111111111111,0.666666666666668
197707,21.8888888888889,-1.55555555555555
197708,25.5555555555556,2.16666666666667
197709,18.5,-1.83333333333333
197710,14.7222222222222,-0.388888888888889
197711,8.72222222222222,-1.11111111111111
197712,7.11111111111111,0.111111111111112
197801,7.77777777777778,1.55555555555555
197802,10,1.27777777777778
197803,12.5,1.44444444444444
197804,13.8888888888889,-0.555555555555555
197805,16.8333333333333,-1
197806,22.7222222222222,2.27777777777778
197807,23.6666666666667,0.222222222222225
197808,22.5,-0.888888888888886
197809,17.7777777777778,-2.55555555555555
197810,16.3888888888889,1.27777777777778
197811,7.83333333333333,-2
197812,5.05555555555556,-1.94444444444444
197901,4.11111111111111,-2.11111111111111
197902,7.5,-1.22222222222222
197903,13.5,2.44444444444444
197904,13.8888888888889,-0.555555555555555
197905,18.4444444444444,0.611111111111107
197906,21.1111111111111,0.666666666666668
197907,24.5,1.05555555555556
197908,23.1111111111111,-0.277777777777775
197909,21.6666666666667,1.33333333333334
197910,16.1666666666667,1.05555555555556
197911,9.72222222222222,-0.111111111111112
197912,9.11111111111111,2.11111111111111
198001,4.55555555555556,-1.66666666666667
198002,9.33333333333333,0.611111111111112
198003,10.1111111111111,-0.944444444444446
198004,16.1666666666667,1.72222222222222
198005,17.0555555555556,-0.777777777777782
198006,18.2222222222222,-2.22222222222222
198007,22.5555555555556,-0.888888888888886
198008,21.6666666666667,-1.72222222222222
198009,19.7777777777778,-0.555555555555557
198010,16.9444444444444,1.83333333333333
198011,10.7222222222222,0.888888888888889
198012,8.66666666666667,1.66666666666667
198101,9.66666666666667,3.44444444444445
198102,9.83333333333334,1.11111111111111
198103,13.6111111111111,2.55555555555556
198104,13.8888888888889,-0.555555555555555
198105,16.7777777777778,-1.05555555555556
198106,18.3333333333333,-2.11111111111111
198107,22.1111111111111,-1.33333333333334
198108,25.8888888888889,2.5
198109,21,0.666666666666668
198110,14,-1.11111111111111
198111,11.5,1.66666666666667
198112,7.27777777777778,0.277777777777778
198201,5.61111111111111,-0.611111111111112
198202,8.27777777777778,-0.444444444444443
198203,10.9444444444444,-0.111111111111112
198204,13.3333333333333,-1.11111111111111
198205,17.6666666666667,-0.166666666666668
