"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"at","fixed_factors",1057,9282,8.78145695364238,12558.5049580874,27231.0099161747,0.818866503954762,0.957800473735008,0.979424791205369,7,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.626960121617274,0.583629881922984,0.56227901411648,0.413535049572696,-0.397570537031487,-0.325920123838164",NA,NA,NA,"PctAlluvCoastWs,ElevWs,BFIWs,RunoffWs,PctGlacLakeFineWs,PctIce2011Ws",NA,"0.409862987257866,-0.404188525141337,-0.3938134394238,0.391766920957087,0.380288111084935,-0.34639512265494",NA
"2","DE",1,"pc","fixed_factors",1057,9282,8.78145695364238,12697.4909104316,27508.9818208633,0.814755547085647,0.956746612522085,0.979775406919212,45,6,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.638236518100961,0.581574287287639,0.566309706851549,-0.448730975911713,0.434928466188995,-0.357610013887384",NA,NA,NA,"OmWs,RunoffWs,ElevWs,WsAreaSqKm,WtDepWs,PctUrbLo2011WsRp100",NA,"0.28738616697014,-0.261241183783658,-0.191998433270615,-0.161333142294375,-0.1505925353085,0.13291472237225",NA
"3","DE",1,"sn","fixed_factors",1057,9282,8.78145695364238,12793.6907071558,27701.3814143115,0.811236100050767,0.955261713636411,0.980156853220321,7,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.646825486798491,0.561464620971013,0.54829802708428,-0.473505454471304,0.455423560102092,-0.349310263656926",NA,NA,NA,"PctUrbOp2011WsRp100,RdDensWsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbLo2011WsRp100,PctUrbHi2011WsRp100",NA,"0.818165432263543,0.791492158529166,0.733146408613828,0.712870121822465,0.712374055448834,0.683104757489983",NA
"4","DE",1,"atpc","fixed_factors",1681,9282,5.52171326591315,12250.5144341406,27863.0288682811,0.826784746221238,0.960150204440432,0.981933740988628,20,2,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.624695892409136,0.590061753282734,0.552989137945021,0.41684374278199,-0.401593489065183,-0.328596726881997",NA,NA,NA,"PctGlacLakeFineWs,RckDepWs,PctAlluvCoastWs,PctIce2011Ws,ElevWs,WtDepWs","RunoffWs,PctIce2011Ws,WtDepWs,BFIWs,PctAlluvCoastWs,PctGlacLakeFineWs","0.476435544352069,0.412168517415288,0.40955907696811,-0.376312410171461,-0.374279578514919,-0.313735126760695","-0.660829062639065,0.331948960561382,0.32931001465116,0.308436082989191,-0.307207778043098,0.200386871976231"
"5","DE",1,"atpcsn","fixed_factors",2305,9282,4.02689804772234,11948.736186306,28507.472372612,0.835783856136267,0.963580725522395,0.983714051743333,3532,1091,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.670203708393018,0.567006068478789,0.53097163282561,0.468563136145246,-0.45410506928295,-0.292426879008862",NA,NA,NA,"PctGlacLakeFineWs,PctIce2011Ws,ElevWs,BFIWs,WtDepWs,RckDepWs","RunoffWs,PopDen2010Ws,PctUrbOp2011WsRp100,PctUrbHi2011WsRp100,PctGlacLakeFineWs,RdDensWsRp100","0.485261837662373,-0.483059448344728,-0.403915841459602,-0.368394388869517,-0.352949952159183,0.352347763858098","-0.638348513582849,0.348828756171953,0.345238187150821,0.341696423574452,0.327024048751452,0.301024974204653"
"6","DE",1,"atsn","fixed_factors",1681,9282,5.52171326591315,12234.775126818,27831.5502536359,0.828426477909159,0.960657856055085,0.981971451290167,2255,673,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.672288327390432,0.573118127144575,0.524267301564376,0.4671062876602,-0.455596596674569,-0.295459111136683",NA,NA,NA,"BFIWs,PctGlacLakeFineWs,ElevWs,PctIce2011Ws,RunoffWs,WtDepWs","PctUrbOp2011WsRp100,RdDensWsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbLo2011WsRp100,PctUrbHi2011WsRp100","-0.515558443116932,0.457867230666476,-0.436876707770323,-0.418030001862471,0.365936240444126,-0.35873404713223","0.793484429633412,0.772207746811935,0.709060780363229,0.68719887360477,0.675901477444764,0.67109357565389"
"7","DE",1,"at","fourier",817,9282,11.3610771113831,12992.5679614912,27619.1359229825,0.810594751586833,0.950617728595137,0.978475868724532,23,3,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.62024964990918,-0.579109960111597,0.554025900321465,-0.411065369281511,0.383481686050725,-0.339618239309104",NA,NA,NA,"PctIce2011Ws,RunoffWs,PctAlluvCoastWs,ElevWs,PctGlacLakeFineWs,WtDepWs",NA,"-0.430543577891627,0.399047591987339,0.393812402264339,-0.373777854115461,0.363631478201626,-0.346519973378381",NA
"8","DE",1,"pc","fourier",817,9282,11.3610771113831,13244.3784145783,28122.7568291566,0.804714636610893,0.947276005334371,0.978479418830442,7,1,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.615152246346276,0.504448473599904,-0.474519453163426,-0.415673878847933,-0.357172731883831,0.344927125420636",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,WtDepWs,RdDensWsRp100,PctCrop2011Ws",NA,"0.535972361503373,0.353486983480781,-0.336270064737409,-0.202916569994323,-0.167815797368838,0.160789398239206",NA
"9","DE",1,"sn","fourier",817,9282,11.3610771113831,13229.2593516511,28092.5187033021,0.795304944116559,0.948667783275918,0.979654141835604,28,4,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.589909809868207,-0.567468796665813,0.527248185448503,-0.471645210408487,0.41054250219318,-0.354117085384244",NA,NA,NA,"RunoffWs,BFIWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,ElevWs",NA,"-0.770035605844984,0.435527701444569,-0.40296421299735,0.363291162220683,0.322234551472186,0.202861464931251",NA
"10","DE",1,"atpc","fourier",1441,9282,6.44136016655101,12672.4540538204,28226.9081076408,0.818940672981668,0.952905311409624,0.980809405007242,8,1,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.622059485707785,-0.577362255106737,0.547275465812377,-0.412593484469249,0.385748433656002,-0.341301390914089",NA,NA,NA,"PctGlacLakeFineWs,PctIce2011Ws,ElevWs,PctAlluvCoastWs,RckDepWs,WtDepWs","RunoffWs,BFIWs,PctIce2011Ws,PctAlluvCoastWs,PctGlacLakeFineWs,WtDepWs","0.447386375633776,-0.390151260217319,-0.371464677431442,0.36434803019913,0.359300254243635,-0.287693045160247","-0.602455080208027,0.270003311217896,0.267118431055,-0.254144603709447,0.210497880484852,0.198227581543338"
